"cohort","observed_median_patient_mean_difference","null_center_median","null_q025","null_q975","observed_minus_null_center","empirical_upper_tail_p","empirical_doubled_tail_p","empirical_centered_absolute_p","original_reported_two_sided_p","draws"
"GSE280315",0.0196158937365652,-0.108666153017766,-0.134605725449348,-0.0783187503892288,0.128282046754331,0.0001999600079984,0.000399920015996801,0.0001999600079984,1,5000
"Valdeolivas_Visium",0.110366757571359,-0.0706855802724392,-0.0965014330602508,-0.0466797222122356,0.181052337843798,0.0001999600079984,0.000399920015996801,0.0001999600079984,0.0017996400719856,5000
