"pair","adjustment","proxy_definition","n","rho","p_value","ci_low","ci_high","label","ci_low_plot","ci_high_plot"
"FAP13_matrix4","none","not applicable",380,0.929585676530053,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063837764787568,NA,NA,"Unadjusted",0.909881027789463,0.943945088169241
"FAP13_matrix4","fib5 transcript score","five genes disjoint from FAP13, matrix4 and SenMayo",380,0.650479278571174,0.0000000000000000000000000000000000000000000000579222838302079,0.570860450656015,0.713993564549329,"fib5",0.570860450656015,0.713993564549329
"FAP13_matrix4","MCP+EPIC recomputed full","joint full official proxies",380,0.150208727989048,0.00341869202535175,0.036132133890832,0.260830157261806,"MCP + EPIC full",0.036132133890832,0.260830157261806
"FAP13_matrix4","MCP+EPIC pair-purged","joint proxies purged for this target pair",380,0.466131460869516,0.000000000000000000000870292517542164,0.362500822424909,0.555540696442766,"MCP + EPIC pair-purged",0.362500822424909,0.555540696442766
"FAP13_matrix4","MCP+EPIC global-disjoint","joint proxies disjoint from all manuscript target sets",380,0.466009752879497,0.000000000000000000000894559589111865,0.364240859099141,0.555270687293375,"MCP + EPIC globally disjoint",0.364240859099141,0.555270687293375
