draw,r,mean_fisher_z
0,0.1399420381603832,0.14086645595631103
1,0.2690683984692971,0.2758592393751594
2,0.23539288747408812,0.23989110123857796
3,0.14769720404339892,0.1487854622688968
4,0.042876066847604824,0.04290236970689038
5,0.12279630721360764,0.12341916464810053
6,0.2069867081713234,0.21002111290421718
7,0.017803361890860445,0.017805243231374904
8,0.12484031451943468,0.12549499725765342
9,0.13301796155749382,0.13381092716907605
10,0.055516880741167646,0.05557402308804925
11,0.1842056994401525,0.18633264622537907
12,0.19357484939077188,0.19604853621217946
13,0.07782280940678948,0.07798049121360463
14,0.13056677888015192,0.13131641540881606
15,0.1075664642803726,0.10798423595698924
16,0.11736979327476356,0.11791324132924803
17,0.22100867318066883,0.22471633267759822
18,0.0775388587147747,0.07769481667030466
19,0.07562655259122336,0.07577122827234026
20,0.23423763060986807,0.2386684282094288
21,0.10903985195973213,0.10947511125103536
22,0.035225174483996556,0.035239754624111996
23,0.19378318799396188,0.19626499450500726
24,0.013374483311289377,0.013375280858498007
25,0.07850780080143256,0.07866969353448333
26,0.04980063909458047,0.04984187071621085
27,0.1738378918196052,0.17562144889318418
28,0.09226270399070208,0.09252584181408732
29,0.13445594493720284,0.13527509835968665
30,0.24169860981129632,0.24657732441774774
31,0.18145474680132256,0.18348655558317592
32,0.2950139590591898,0.30404937536977067
33,0.14772151416798687,0.14881031462352035
34,0.1522081287145041,0.15340016068067555
35,0.14144392809031775,0.14239867574590184
36,0.16355736709631435,0.1650396744950026
37,0.070163351408784,0.07027882831418672
38,0.16904760904921315,0.17068609250351
39,0.03300566124053839,0.03301765424658256
40,0.10839527968112403,0.10882282929625091
41,0.08679401898698726,0.08701295503393996
42,-0.020446778855433678,-0.020449628970560862
43,0.1418057158552928,0.14276786863490554
44,0.18314955125000107,0.18523962204902034
45,0.2899809863394133,0.29854550424744464
46,0.13509739244519278,0.13592841319262342
47,0.13807987459903934,0.13896759818815552
48,0.1385730916042696,0.1394704366235745
49,0.10713877773926771,0.10755156303298886
50,0.1328468375996453,0.13363672487810624
51,0.10911849649220856,0.10955470278481493
52,0.1118723743774597,0.11234262088376651
53,0.1755340108597153,0.17737095489898738
54,0.0721672499972309,0.07229292799824195
55,0.024091856123678302,0.02409651885947293
56,-0.004599806486683422,-0.004599838928334032
57,0.19811002789309312,0.20076460543621882
58,0.10495666450964383,0.10534462944976279
59,0.14194238281781696,0.14290734297140292
60,0.07601841851436461,0.0761653600838629
61,0.1549579362321311,0.15621639886045807
62,0.1727028959183553,0.17445132258219143
63,0.08431999454014731,0.08452068586455588
64,0.14251896231912403,0.14349582727129637
65,0.08580073759719666,0.08601222085429201
66,0.07860297247804071,0.0787654561574057
67,0.032170326026076036,0.03218143093308714
68,0.11823662809500383,0.11879227508333215
69,0.18910725814512963,0.19141115507010617
70,0.17919033412370727,0.181146036955688
71,0.07152180610273332,0.07164413524860333
72,0.14435992334964476,0.14537546212716196
73,0.16881729754781258,0.17044901524905196
74,0.0946590206424318,0.09494327578666419
75,0.1219272031232926,0.12253685013380702
76,0.09720697364092845,0.09751489722003973
77,0.15687570504766166,0.15818195101945123
78,0.1022569633442162,0.10261563248659945
79,0.2315610315217531,0.23583831580871925
80,0.1072332878974371,0.10764717162357094
81,0.20295885787073714,0.2058166085410219
82,0.12601204565212468,0.1266854565148788
83,0.13484115500464455,0.13566742133897505
84,0.0790833969592363,0.07924888576636403
85,0.18932933919441058,0.191641482669549
86,0.15686450849179434,0.15817047198485573
87,0.10446496078268505,0.104847474731882
88,0.1656871708049056,0.16722880565350914
89,0.07246375966898365,0.07259099643070148
90,0.1290093936563639,0.12973234628189043
91,0.02079385126419729,0.02079684901987572
92,0.17958974466210123,0.18155872822997626
93,0.3295274743787547,0.34229807487012265
94,0.1651898786094774,0.1667175195952829
95,0.12265710252196589,0.12327783121406882
96,0.1571217888124602,0.15843425369503045
97,0.0777029764727704,0.0778599292330009
98,0.16200611659616354,0.1634461999177228
99,0.22202729833041085,0.22578752140338793
100,0.22381529907317654,0.22766902185787963
101,0.19425062404784899,0.19675071430577937
102,0.07547223802545613,0.07561602786717782
103,0.11874657826646988,0.11930948705724648
104,0.10107738910720311,0.10142373843274702
105,0.13789556285739427,0.13877970891955294
106,0.04611226392889306,0.0461449891540658
107,0.10657022823496766,0.10697644690275437
108,0.0915295879857981,0.09178648195363698
109,0.12527016005777086,0.12593167187555807
110,0.188467458819877,0.19074771009772704
111,0.09716213912916484,0.09746963521597228
112,0.010462282284596976,0.010462664041210953
113,0.0599323074860124,0.06000421911035023
114,0.10559399676636688,0.10598910437738711
115,0.09643688920347583,0.09673752528003314
116,0.15141617869342666,0.15258952801901315
117,0.11370064226644215,0.11419444600560756
118,0.12059598751336999,0.1211857674872341
119,0.1423230838164372,0.14329589335885842
120,0.10293359118801357,0.10329945816369736
121,0.18724213077654553,0.18947755897064492
122,0.2438501669587263,0.24886363654124816
