gene,mean_log1p_CP10K,detection_fraction,sd_log1p_CP10K
A1BG,0.2860879811824788,0.3505226480836237,0.458435403449199
A1BG-AS1,0.021333972380269572,0.041811846689895474,0.10980873193645728
A1CF,0.0009073789160874619,0.0013937282229965157,0.024585404346542113
A2M,0.5862086927096216,0.4369337979094077,0.8329286432485562
A2M-AS1,0.006080373543750472,0.012543554006968641,0.05627003061204008
A2ML1,0.00044748578759634195,0.0013937282229965157,0.012289227345635255
A4GALT,0.28853603491537455,0.3700348432055749,0.43433396788299694
A4GNT,0.0,0.0,0.0
AAAS,0.09495099166262008,0.15818815331010452,0.24287484697439984
AACS,0.06660698248903542,0.11358885017421602,0.20956026728615107
AADAC,0.0032793813312028577,0.004878048780487805,0.050603174417968605
AADACL2,0.0,0.0,0.0
AADAT,0.021098726716398307,0.03484320557491289,0.12665559624523398
AAED1,0.24093740474336997,0.3533101045296167,0.37422071043757454
AAGAB,0.10543325435405525,0.18397212543554006,0.24861018104476992
AAK1,0.1933540273610859,0.2975609756097561,0.33924165652938776
AAMDC,0.38906566771129664,0.4989547038327526,0.46902022744364275
AAMP,0.3511144298784655,0.46550522648083625,0.43696817033803415
AANAT,0.001297761599618314,0.0027874564459930314,0.025579125921821707
AAR2,0.08685189383424648,0.14355400696864112,0.2436707744656942
AARD,0.009878687160407398,0.018118466898954706,0.07812428615212876
AARS,0.1221187956779377,0.19372822299651568,0.28466782086801296
AARS2,0.01352147877892154,0.02578397212543554,0.09094192125545289
AARSD1,0.054036987905691565,0.09198606271777003,0.19825931042001885
AASDH,0.05049442068561685,0.0808362369337979,0.1896301480007471
AASDHPPT,0.08966184409865031,0.15191637630662022,0.23917980816127654
AASS,0.06722569656146406,0.10871080139372823,0.2180476933158449
AATBC,0.0,0.0,0.0
AATF,0.13258569689786529,0.22926829268292684,0.2696314959236519
AATK,0.003350481218459215,0.005574912891986063,0.04628924441176971
ABALON,0.001208145784538866,0.0013937282229965157,0.03235515432403855
ABAT,0.016057609156491025,0.025087108013937282,0.11277638294589422
ABC12-49244600F4.4,0.0006614816903229996,0.0013937282229965157,0.01939834367045588
ABC7-42404400C24.1,0.0,0.0,0.0
ABCA1,0.27064470154728626,0.3630662020905923,0.4161625911517728
ABCA10,0.007963734606677602,0.008362369337979094,0.09197275641077766
ABCA12,0.0,0.0,0.0
ABCA13,0.0009802475451543748,0.0013937282229965157,0.027546255741289646
ABCA2,0.03223840846559246,0.05714285714285714,0.14724464897521444
ABCA3,0.0007249704562403993,0.0020905923344947735,0.01593441911893458
ABCA4,0.0006625923644459391,0.0013937282229965157,0.01898499642957513
ABCA5,0.05331480873185408,0.08153310104529617,0.20658916123834634
ABCA6,0.05651443893655987,0.08362369337979095,0.20783900890556928
ABCA7,0.009401991635179616,0.01602787456445993,0.0806909666489761
ABCA8,0.04314700436636411,0.05226480836236934,0.20828136496739943
ABCA9,0.00980437712514756,0.013937282229965157,0.08850737606669681
ABCA9-AS1,0.0,0.0,0.0
ABCB1,0.021403138534802815,0.032752613240418116,0.12954801250805567
ABCB10,0.023989972081882364,0.0445993031358885,0.12054902715760296
ABCB11,0.0,0.0,0.0
ABCB4,0.01018995435853917,0.017421602787456445,0.09174131123825344
ABCB5,0.003307679650813292,0.003484320557491289,0.06337017660814755
ABCB6,0.0013682893838345644,0.0020905923344947735,0.031118226907228964
ABCB7,0.07315605077941437,0.12125435540069686,0.22270985228994528
ABCB8,0.08439217669010635,0.13937282229965156,0.23515530732564716
ABCB9,0.010932214302923519,0.016724738675958188,0.09760795893684825
ABCC1,0.06474696361723314,0.1156794425087108,0.19928207388900485
ABCC10,0.031182239143134387,0.05505226480836237,0.14594397779912507
ABCC11,0.0,0.0,0.0
ABCC2,0.0005938839632784985,0.0013937282229965157,0.01621808737961749
ABCC3,0.04185088140762526,0.07177700348432056,0.1676298618784055
ABCC4,0.0996527640327114,0.156794425087108,0.2634138825037598
ABCC5,0.07492683095351982,0.12334494773519164,0.23513298334245816
ABCC5-AS1,0.0,0.0,0.0
ABCC6,0.0097168872641356,0.018815331010452963,0.07497491449559798
ABCC8,0.0,0.0,0.0
ABCC9,0.024924772376071772,0.04041811846689895,0.13503811354965414
