cohort,program,observed_r,null_median,null_low,null_high,empirical_p,null_draws,pool_genes,q
GSE132465,Troph_MMPplus,0.025729144663303345,0.13543387640359725,0.006294324160847551,0.2695046335684198,0.11288711288711288,1000,13544,0.16933066933066931
GSE132465,Troph_MMPminus,-0.06766793384336375,0.12933022311966622,0.008456663852682636,0.25891448505370607,0.000999000999000999,1000,13544,0.002997002997002997
GSE132465,Telocyte_CAF,0.0627910067581795,0.12399263053156921,-0.002493826760845461,0.24104168661200223,0.33266733266733267,1000,13544,0.33266733266733267
GSE166555,Troph_MMPplus,0.20621192769159571,0.11900373993720548,-0.05691651833607682,0.28165902845125207,0.35264735264735264,1000,12655,0.528971028971029
GSE166555,Troph_MMPminus,0.1577133118737364,0.1259080380834709,-0.038332961361739755,0.2849500848540124,0.7082917082917083,1000,12655,0.7082917082917083
GSE166555,Telocyte_CAF,0.40897345571203725,0.07530127884319382,-0.07450715690862107,0.23592899656128244,0.000999000999000999,1000,12655,0.002997002997002997
