"sample","FAP13","matrix4","fib5","SenMayo"
"TCGA-3L-AA1B-01",0.149369618325982,-0.182037171569397,0.574946923219392,0.00485411129269377
"TCGA-4N-A93T-01",-1.5192124426604,-1.91636621988775,-1.4922645642689,-0.724713007813715
"TCGA-4T-AA8H-01",-1.80095130610152,-1.74878987915801,-1.83323976601954,-0.865641188516978
"TCGA-5M-AAT4-01",-0.740901047911949,-0.79741574464183,-0.721241181527926,-0.488845071838917
"TCGA-5M-AAT5-01",-0.862931246191922,-0.586469412548562,-1.00957112802646,-0.30331645762642
"TCGA-5M-AAT6-01",0.674150622271236,1.27960838694714,0.682476801183709,0.281159011474738
"TCGA-5M-AATA-01",0.0566777795782912,-0.290580103830964,0.0355146815656713,0.0821207939931543
"TCGA-5M-AATE-01",-0.486432786374505,-0.556330579913249,-0.276933676699414,-0.470660629579755
"TCGA-A6-2675-01",0.789915154131157,0.953160609643016,0.954214040432053,0.386019311007708
"TCGA-A6-2682-01",1.06972413074673,0.601451886995333,0.636051358119545,0.65146850247522
"TCGA-A6-2684-01",0.88258329637046,0.318743665371128,0.740584535015289,0.375519133833724
"TCGA-A6-2685-01",1.00598963518756,0.835636404186026,1.1488834655489,0.598424098897524
"TCGA-A6-2686-01",0.517119276510691,-0.30502218754421,0.469803030456654,0.504439379284202
"TCGA-A6-4105-01",0.513918733509813,0.659126461051854,0.605476328194231,0.590541290330582
"TCGA-A6-5656-01",-0.549875697586932,-0.963569001814261,-1.01892478288351,-0.41332408787655
"TCGA-A6-5657-01",0.952256122786765,0.912324768879722,0.902906308159536,0.435816093501985
"TCGA-A6-5659-01",0.169189163213286,-0.460538283571919,0.228312239465961,-0.199170359008162
"TCGA-A6-5660-01",0.51589526324796,0.163327370408316,0.377479962618597,-0.0823378064433546
"TCGA-A6-5661-01",-0.195158874211701,-0.261924008062871,-0.340606936841535,0.0303747039792422
"TCGA-A6-5662-01",0.00117791130397174,-0.10980249607865,-0.417186819944251,-0.339055105876766
"TCGA-A6-5664-01",0.706517513820925,1.1001682398362,1.33058738811083,0.740448337131874
"TCGA-A6-5665-01",-0.916743010628851,-1.27784756817552,-1.17019721189752,-0.142801832512656
"TCGA-A6-5666-01",-1.03852539522907,-0.954802905551727,-1.35880249426675,-0.585500058184694
"TCGA-A6-5667-01",0.0698388362539937,-0.0100525631816817,0.0819612915503313,0.0166140701037381
"TCGA-A6-6137-01",-0.500131083036676,-0.690375335260904,-0.263231431431593,0.1610043654783
"TCGA-A6-6138-01",0.403929051699193,0.131780844819403,0.535632141483753,0.525149040531444
"TCGA-A6-6140-01",-0.814138320479016,-0.784883172080917,-0.861053161648502,-0.186731095346979
"TCGA-A6-6141-01",-0.151283075753642,-0.147859114589429,0.131194038164896,-0.133898635068239
"TCGA-A6-6142-01",1.34337763596064,1.30573995984003,0.939007629063938,0.613872701018816
"TCGA-A6-6648-01",-0.763684153189181,-0.794391475744443,-0.534053531765829,-0.268751132798514
"TCGA-A6-6649-01",0.213737517070035,-0.167028662545045,0.647261959224673,0.270768833959215
"TCGA-A6-6650-01",-0.669317565432214,-0.87312273562636,-0.610675537043074,-0.451011547926821
"TCGA-A6-6651-01",1.46179169330323,1.19255080135815,1.67811382829385,0.55043018618905
"TCGA-A6-6652-01",-0.572264320029331,-0.754026533760806,-0.599835760242156,-0.444781937835336
"TCGA-A6-6653-01",0.26900027417813,0.280608751702607,0.315177298959401,0.173607830916049
