"sample","MCP_full","MCP_FAP13_matrix4_purged","MCP_SenMayo_FAP13_purged","MCP_SenMayo_matrix4_purged","MCP_global_disjoint","EPIC_full","EPIC_FAP13_matrix4_purged","EPIC_SenMayo_FAP13_purged","EPIC_SenMayo_matrix4_purged","EPIC_global_disjoint"
"TCGA-3L-AA1B-01",12.1942375,11.32016,12.0996285714286,11.5762166666667,11.32016,0.0755225288157224,0.0367699103816363,0.075055385958817,0.037063854814823,0.0366806195318144
"TCGA-4N-A93T-01",9.4017875,8.25172,9.2975,8.56506666666667,8.25172,0.0170315007482948,0.00573691595445732,0.0166707601160891,0.0057709683708219,0.00568096263420179
"TCGA-4T-AA8H-01",9.537925,8.34456,9.40365714285714,8.7001,8.34456,0.0212821636793487,0.0206995746028772,0.0206994572366574,0.0207469772157777,0.0205563551160055
"TCGA-5M-AAT4-01",10.5667875,9.18224,10.4471714285714,9.55255,9.18224,0.0569572626196218,0.0111948802132018,0.056165966732536,0.011223215406083,0.0111182412157499
"TCGA-5M-AAT5-01",10.2023125,8.79512,10.0784714285714,9.17413333333333,8.79512,0.0438564342260544,0.0123559944175568,0.0433595939622635,0.0123847043889142,0.0123405573100289
"TCGA-5M-AAT6-01",12.6899625,10.83872,12.6322571428571,11.2145833333333,10.83872,0.635463771264215,0.0581748893898216,0.632855839887219,0.05788827568868,0.0576299132708695
"TCGA-5M-AATA-01",11.298975,9.8711,11.1904714285714,10.2356666666667,9.8711,0.102800513553412,0.0235244467755154,0.101791103654359,0.0236398473611965,0.0236598685597364
"TCGA-5M-AATE-01",11.007175,9.71964,10.9491857142857,10.0018833333333,9.71964,0.0782427768402337,0.0234160397140768,0.0774533909593496,0.0234949085603307,0.0237566390836463
"TCGA-A6-2675-01",13.0446875,11.67358,13.0783428571429,11.8628333333333,11.67358,0.458318744349911,0.0845629026848832,0.457262405632007,0.0854382982718162,0.0847854674607767
"TCGA-A6-2682-01",13.0260125,11.66452,12.9019714285714,12.03615,11.66452,0.275681786086237,0.0653721493568654,0.273785911707443,0.0656131678927135,0.0652302484442572
"TCGA-A6-2684-01",12.9293625,11.70274,12.7507857142857,12.1155166666667,11.70274,0.187165109959891,0.0652553933471132,0.186682022303214,0.0655901180784338,0.0653501985421506
"TCGA-A6-2685-01",13.64985,12.24262,13.4040857142857,12.7638833333333,12.24262,0.356420961923742,0.106243857964129,0.357724751635615,0.107132058183173,0.106863374124382
"TCGA-A6-2686-01",12.1882625,11.21678,12.1316714285714,11.4447166666667,11.21678,0.0891311757071212,0.0439776101174749,0.0889277431352158,0.0444569827017955,0.0441533953083936
"TCGA-A6-4105-01",12.5897625,11.55626,12.7044285714286,11.5947333333333,11.55626,0.224598229265991,0.038864787709284,0.224195112456608,0.0388842153615684,0.0390212095435676
"TCGA-A6-5656-01",10.55025,9.12408,10.2557285714286,9.70538333333333,9.12408,0.0413838089839673,0.00966986357578416,0.0408601451028921,0.00971310271018621,0.00964641266545336
"TCGA-A6-5657-01",13.246075,11.7155,13.0837714285714,12.15995,11.7155,0.404083261252019,0.0555095019914657,0.401640071926331,0.0558398262599753,0.0554967256737352
"TCGA-A6-5659-01",11.804625,10.63952,11.6254142857143,11.0427833333333,10.63952,0.0798368973993756,0.035155435254441,0.0790964206183639,0.0353368479845421,0.034936700340753
"TCGA-A6-5660-01",11.91485,10.5405,11.7809571428571,10.9257666666667,10.5405,0.137321815688991,0.0438822775127224,0.136231929376797,0.0440784297067215,0.043723521465509
"TCGA-A6-5661-01",11.126225,9.83588,11.1513285714286,10.02165,9.83588,0.100917335825208,0.0197877368987326,0.0997655895296822,0.0198729967848779,0.0196802618771369
"TCGA-A6-5662-01",11.562125,10.00902,11.3231285714286,10.5467,10.00902,0.106261488100948,0.0292016901797885,0.105267445189707,0.0292726867470443,0.0295132448528942
"TCGA-A6-5664-01",13.7379875,12.38066,13.7353428571429,12.6099666666667,12.38066,0.608722505610462,0.084241841142499,0.607030894718333,0.0849582933848778,0.0847427793253054
"TCGA-A6-5665-01",9.9089625,8.77158,9.91688571428571,8.9519,8.77158,0.0320838186942282,0.0108882521548682,0.0318309465541642,0.0104301014550838,0.0103265493785988
"TCGA-A6-5666-01",10.114,8.73442,10.0218428571429,9.07186666666667,8.73442,0.0408633617436492,0.0206465085028515,0.0406299825995063,0.0207043202076917,0.020530301002673
"TCGA-A6-5667-01",11.9716625,10.50594,11.7065571428571,11.0595166666667,10.50594,0.120997519169592,0.0319201579512871,0.11982917600397,0.0319000609113657,0.0317388941991367
"TCGA-A6-6137-01",11.0171375,10.08488,11.1114857142857,10.1301833333333,10.08488,0.0580494391986351,0.0151211181495613,0.0576934179383542,0.0151228684331504,0.0150610209923133
"TCGA-A6-6138-01",12.26655,11.18906,12.3027857142857,11.3263666666667,11.18906,0.160855783588162,0.0354976152704223,0.16057138474614,0.0359165904527094,0.0356155214390847
"TCGA-A6-6140-01",10.2634375,8.96976,10.3147142857143,9.12555,8.96976,0.0651849473478604,0.00788917515737072,0.0641624681590413,0.00791818283463587,0.00790096488027104
"TCGA-A6-6141-01",11.59295,10.44922,11.5543,10.6849333333333,10.44922,0.0946729794359166,0.0426642018043598,0.0939102748078173,0.0428757160726299,0.0426720405841672
"TCGA-A6-6142-01",13.4359875,11.8844,13.3854,12.2020166666667,11.8844,0.644804715461698,0.129332680847157,0.641431694991102,0.130027715210144,0.129373328522628
"TCGA-A6-6648-01",10.3100875,9.2094,10.3343857142857,9.3645,9.2094,0.0413620618973719,0.0089559882548444,0.0408383806668417,0.0089219456646493,0.0087902641500888
"TCGA-A6-6649-01",12.5659375,11.6307,12.4870285714286,11.8786333333333,11.6307,0.111424847310427,0.0327381908433161,0.110494809541748,0.0327760064214499,0.0326675223151616
"TCGA-A6-6650-01",10.3560625,9.01038,10.3056285714286,9.2935,9.01038,0.0563680188228725,0.0101341727142845,0.0558265042009659,0.0100921948962827,0.0101832953453468
"TCGA-A6-6651-01",14.25275,12.9499,14.0378285714286,13.4177833333333,12.9499,0.467651017208681,0.126800238812989,0.471535897183035,0.12830228929717,0.127640844914098
"TCGA-A6-6652-01",10.7347875,9.55586,10.7531142857143,9.73096666666667,9.55586,0.0649019612837057,0.0133240201814158,0.0640597237481721,0.0133062178560656,0.0132344158598457
"TCGA-A6-6653-01",12.1107375,11.02016,12.3238142857143,10.9533333333333,11.02016,0.22146799550269,0.0207737285690295,0.219181923613558,0.0205886766922562,0.0204803995732835
"TCGA-A6-6654-01",14.0674,12.62682,14.0383714285714,12.9007833333333,12.62682,0.871884826984134,0.119253144138468,0.879004094530872,0.121111352371226,0.120915759810723
"TCGA-A6-6780-01",10.74575,9.48078,10.7979857142857,9.63066666666667,9.48078,0.0760388882446393,0.00775887921792794,0.0762140556018265,0.00790095376733451,0.00789338619739151
"TCGA-A6-6781-01",14.531625,12.89276,14.5054714285714,13.1964166666667,12.89276,0.999901135946567,0.161370625305825,0.998725433249141,0.163290013004208,0.163180400816971
"TCGA-A6-6782-01",12.7504375,11.26566,12.7321857142857,11.5344166666667,11.26566,0.409019568309667,0.0813909570580085,0.407602332913766,0.0821907461183509,0.0815864168007968
"TCGA-A6-A565-01",12.810725,11.83948,12.8531571428571,11.95185,11.83948,0.182572156485444,0.0272771330254237,0.182345999080922,0.027146990642213,0.0269424808342379
"TCGA-A6-A566-01",14.5354375,13.07408,14.5472857142857,13.3038166666667,13.07408,0.99998021543131,0.175255368104331,0.999948307602411,0.176766204161062,0.177304276014499
"TCGA-A6-A567-01",11.9043625,10.49074,11.6886,10.9780666666667,10.49074,0.118657951262714,0.0335411321197168,0.117511109492492,0.0336212613473054,0.0334512865788779
"TCGA-A6-A56B-01",12.628775,11.19718,12.6544,11.4058833333333,11.19718,0.403379412872618,0.0510768992178226,0.399640644755251,0.0512083094556562,0.0508683538383238
"TCGA-A6-A5ZU-01",12.608325,11.06936,12.5859,11.3520166666667,11.06936,0.390113409163094,0.0780536343496424,0.387984559159774,0.0794301505825143,0.0782653183594107
"TCGA-AA-3489-01",13.7433,12.37146,13.8130571428571,12.5187166666667,12.37146,0.783977968201349,0.157188646717826,0.786828659652678,0.159010398735077,0.158501833804746
"TCGA-AA-3492-01",11.722325,10.45026,11.646,10.7513166666667,10.45026,0.11117333258978,0.0228088928550962,0.110185200534083,0.0229403040845199,0.0227880277565693
"TCGA-AA-3495-01",11.2724875,10.20378,11.2083428571429,10.4567333333333,10.20378,0.0612183654594591,0.0194440480682542,0.0605314927354533,0.0195643550841958,0.019442539617322
