"candidate","n_common","pearson","spearman","rmse","max_abs_difference"
"MCPcounter logged Xena expression",380,1,1,0.000000000000000420066338569799,0.00000000000000177635683940025
"linearized_scale_TRUE",380,1,1,0.00000000000000022619018619112,0.000000000000000555111512312578
"logged_scale_FALSE",380,0.830040693986179,0.963631691573896,0.307726749377961,0.997790485251895
"logged_scale_TRUE",380,0.819054368413855,0.962220251561737,0.299357405630735,0.984877140319357
"linearized_scale_FALSE",380,0.320951190728071,0.288364337073803,0.75183737398981,0.955240653727863
