"sample","dataset","FAP13","matrix4","receptor2"
"GSM971957","discovery",0.405767200705778,0.382017573070948,-0.508523232275697
"GSM971958","discovery",1.0211120053489,1.01201850530938,-1.36841914697752
"GSM971959","discovery",-1.1217959165208,-1.46912213986532,-0.0651690408471203
"GSM971960","discovery",-1.00389724724792,-2.18427296546336,0.218829339379039
"GSM971961","discovery",1.52221780426867,1.72818775545013,1.20617897845609
"GSM971962","discovery",1.68879175117394,1.41631227088462,0.843621844071742
"GSM971963","discovery",0.427850158687995,0.34187282110767,-0.287691620186273
"GSM971964","discovery",-0.655941345155756,-1.12762925381244,0.113282117663804
"GSM971965","discovery",0.376613599382796,0.479522208561741,0.0971578765986647
"GSM971966","discovery",-0.0631220641749265,0.737978716853662,-0.672191790077444
"GSM971967","discovery",-0.651290272766571,-0.579144720303647,-0.318635559606902
"GSM971968","discovery",0.933446712775513,0.830736449197862,-0.0572287145635078
"GSM971969","discovery",-0.0345108660717347,-1.01644107590573,-1.14211442037422
"GSM971970","discovery",-0.226927535035517,0.0917425220996133,1.27043634004268
"GSM971971","discovery",-0.458943857707138,-0.751023517624667,0.593072141754043
"GSM971972","discovery",0.36456462118926,0.76399167228074,-1.37311811538437
"GSM971973","discovery",-0.932460521137077,0.235057702610126,-0.858997069274963
"GSM971974","discovery",0.17604507745865,0.718134688824118,0.733999980414621
"GSM971975","discovery",-0.499122518257822,-0.65416342865199,1.36149021984039
"GSM971976","discovery",-0.673919375094008,-0.332908124421699,0.413582738276484
"GSM971977","discovery",0.928281668989024,0.847198532057234,0.815998275233831
"GSM971978","discovery",-0.289249453363198,0.121074108399343,0.107260907080355
"GSM971979","discovery",0.501077772213462,0.477814490338315,1.28101758087304
"GSM971980","discovery",-0.476443106821175,-0.597292113224598,0.483945763751478
"GSM971981","discovery",0.433060891555862,0.791154051975138,-0.734679249113291
"GSM971982","discovery",0.706958484045907,1.0839482967664,1.52675157545534
"GSM971983","discovery",0.755641096570178,0.607345910711095,0.0230082111477219
"GSM971984","discovery",0.585213100601071,0.775748647489039,-0.154137632333311
"GSM971985","discovery",-1.33547035527934,-2.13750166633964,-0.0387122958397464
"GSM971986","discovery",0.748446680771866,0.413098796602765,0.144337968141558
"GSM971987","discovery",-0.0389029641472976,0.569857239969161,-1.09477092697334
"GSM971988","discovery",-0.50787621911189,-0.435596198855565,0.520849757323948
"GSM971989","discovery",-1.08224251087544,-1.12401411659564,-0.0100492881736129
"GSM971990","discovery",-0.450498577458473,-1.00125939445858,-0.521692648302617
"GSM971991","discovery",0.844637273746754,1.12794513991111,0.715667830959466
"GSM971992","discovery",-1.16243365107878,-1.56389150450581,-0.0465379859189343
"GSM971993","discovery",0.0951886878700896,0.194451787460728,-0.300411619340324
"GSM971994","discovery",0.131599280235772,0.583203135717949,-1.09159452877387
"GSM971995","discovery",-0.43048740177749,-0.437296833557753,-0.4141528591535
"GSM971996","discovery",1.83001908107799,1.64576157892185,-0.925512265934853
"GSM971997","discovery",-0.174872345927082,-0.717118008174643,0.343298253245107
"GSM971998","discovery",-0.442409115960292,-0.742658010226777,-0.89903521463898
"GSM971999","discovery",0.39421523313549,0.38206596665008,-0.275101360516395
"GSM972000","discovery",-0.163973187416111,0.0243084742934074,-0.136997672266025
"GSM972001","discovery",-1.0519959324193,-1.41217813525491,-0.232406556487886
"GSM972002","discovery",-0.231099168442922,-0.127224883588444,0.0830379958524353
"GSM972003","discovery",-0.836612163142492,-1.15187514513985,0.0247491444531894
"GSM972004","discovery",-0.180979918676029,-0.0408212577496655,0.295572033144936
"GSM972005","discovery",-1.89743052462469,-2.81122610082462,0.624068725107084
"GSM972006","discovery",0.524591174619023,0.837872015437229,-1.12730640251214
"GSM972007","discovery",1.05813427497185,1.16241751090562,-0.47487392104401
"GSM972008","discovery",0.894606458693448,1.28825845870721,1.31489124052039
"GSM972009","discovery",0.406891474656203,0.520206093929886,-0.762989801548188
"GSM972010","discovery",0.625408033161622,0.701016780859065,-1.10795755637499
"GSM972011","discovery",1.57725982578401,1.5879684453958,-1.02377492992276
"GSM972012","discovery",-0.764840482031306,-1.33449336035124,0.39540371098037
"GSM972013","discovery",0.354196085088772,0.835369251994933,0.132589581809578
"GSM972014","discovery",-0.256100949897809,0.0431144759635595,0.882175716052509
"GSM972015","discovery",-0.000801379299841356,0.47585631794521,1.16801875646783
"GSM972016","discovery",0.62288992408672,0.628460175420893,-0.331309548600905
"GSM972017","discovery",-0.103022569558183,-0.496246095622413,0.22364361333555
"GSM972018","discovery",-0.029359830143205,0.480887922797798,0.51409653457694
"GSM972019","discovery",0.636048674987387,0.819484275714779,0.825883348639149
"GSM972020","discovery",-0.00716293871319569,-0.144238308301573,-0.165004414560966
"GSM972021","discovery",-1.17122650952847,-1.06550779929638,-0.895440404902494
"GSM972022","discovery",-0.0738516486818867,-0.208700107177001,0.300597144815414
"GSM972023","discovery",0.342866544685338,0.0650894342679819,0.667103843582294
"GSM972024","discovery",-0.56511583662846,-0.191250122688866,-0.151856089800928
"GSM972025","discovery",-0.411020179375309,-0.183382184485456,0.606003395505873
"GSM972026","discovery",0.462550024122971,0.549774662092423,0.367251435747151
"GSM972027","discovery",-0.742900750086631,-0.686549053888017,0.167653077804338
"GSM972028","discovery",-0.170177802871848,-0.49690690485363,-1.2077225165725
"GSM972029","discovery",0.934048617820443,0.79633203630229,0.154101954020261
"GSM972030","discovery",0.911034014608856,0.83602339248343,-1.42613111408477
