"cohort","n","rho","ci_low","ci_high","p_value","bootstrap_replicates"
"TCGA-COAD/READ",380,0.929585676530053,0.909881027789463,0.943945088169241,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063837764787568,5000
"GSE39582",566,0.913363978444187,0.895410770546509,0.927796907670917,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000290542963249983,5000
