CMS,n,median,q1,q3,method
CMS1,49,0.339579253723522,-0.201377138435619,0.516376816417667,SSP
CMS2,184,-0.0923594313499769,-0.623277237194658,0.295612349667266,SSP
CMS3,29,-0.7532511550222,-1.49205839263521,-0.137074745904438,SSP
CMS4,52,1.12620074224517,0.861024438411178,1.3477257676597,SSP
CMS1,88,0.114029081939529,-0.283406604614188,0.438558472876183,legacy
CMS2,111,-0.587730972702729,-1.11449787734267,-0.184309225127928,legacy
CMS3,34,-0.126392305944927,-0.493216267000634,0.174863104642169,legacy
CMS4,150,0.650506260539634,0.295612349667266,1.01944336601976,legacy
