comparison,n,rho,ci_lower,ci_upper,p_value
FAP_CAF_vs_de_ligand_all_profiles,434,0.986512379127217,0.983732193919358,0.988820105521469,0
FAP_CAF_vs_CLDN_core_all_profiles,434,0.019950830663786,-0.0743173894676687,0.113865653413385,0.67852877407598
de_ligand_vs_CLDN_core_all_profiles,434,-0.0539907790062568,-0.147370486651472,0.0403429030034153,0.261715008484681
