method,feature,n_patients,high_mean,low_mean,mean_difference,wilcoxon_p,burden_rho,burden_p,wilcoxon_fdr_bh,burden_fdr_bh
PROGENy,Androgen,13,0.0753861675128264,-0.064616715010998,0.140002882523824,1,0.0659340659340659,0.830542385756094,1,0.830542385756094
PROGENy,EGFR,13,0.00720811774316038,-0.00617838663699447,0.0133865043801549,0.943056670967043,-0.236263736263736,0.437083543831181,1,0.59896435641909
PROGENy,Estrogen,13,-0.167603971469874,0.143660546974178,-0.311264518444052,0.720984861901671,-0.148351648351648,0.628609417889416,1,0.733377654204319
PROGENy,Hypoxia,13,0.233635179618575,-0.20025872538735,0.433893905005925,0.353111234506005,0.395604395604396,0.180889163104941,0.823926213847346,0.506489656693834
PROGENy,JAK-STAT,13,-0.35442643664905,0.303794088556327,-0.658220525205377,0.174735823215247,-0.417582417582418,0.155674753633475,0.823926213847346,0.506489656693834
PROGENy,MAPK,13,-0.228725117681127,0.196050100869537,-0.424775218550664,0.353111234506006,-0.450549450549451,0.122331887678036,0.823926213847346,0.506489656693834
PROGENy,NFkB,13,-0.0329889060828458,0.0282762052138681,-0.061265111296714,0.943056670967043,-0.21978021978022,0.470614851472142,1,0.59896435641909
PROGENy,p53,13,0.266647703533086,-0.228555174456931,0.495202877990017,0.617075077451974,0.21978021978022,0.470614851472142,1,0.59896435641909
PROGENy,PI3K,13,-0.244942779729263,0.209950954053652,-0.454893733782915,0.617075077451974,-0.483516483516484,0.0941346925969393,1,0.506489656693834
PROGENy,TGFb,13,0.515732082760524,-0.442056070937594,0.957788153698117,0.133614402537716,0.576923076923077,0.0389926234324482,0.823926213847346,0.506489656693834
PROGENy,TNFa,13,0.00286223969406306,-0.00245334830919546,0.00531558800325852,0.943056670967043,-0.21978021978022,0.470614851472142,1,0.59896435641909
PROGENy,Trail,13,0.231427137622912,-0.198366117962497,0.429793255585409,0.353111234506005,0.313186813186813,0.297438422071029,0.823926213847346,0.594876844142059
PROGENy,VEGF,13,0.146550907137077,-0.125615063260352,0.272165970397429,0.830324257655795,-0.313186813186813,0.297438422071029,1,0.594876844142059
PROGENy,WNT,13,-0.311697003261424,0.267168859938363,-0.578865863199786,0.283976771750912,-0.104395604395604,0.734303745287702,0.823926213847346,0.790788648771372
