"gene","available","normal_n","tumour_n","normal_low","normal_q1","normal_median","normal_q3","normal_high","tumour_low","tumour_q1","tumour_median","tumour_q3","tumour_high","median_difference","direction","p_value","test_reported_by_ualcan","source_note","reason"
"FAP",TRUE,100,97,-2.885,-1.742,-1.375,-1.011,-0.415,-2.309,-0.666,0,0.806,2.419,1.375,"Higher in primary tumour",6.22736464176369e-26,"Unpaired two-sample t-test","UALCAN display of CPTAC colon proteomics; not an independent cohort from CPTAC",NA
"COL1A1",TRUE,100,97,-0.511,0.994,1.531,1.991,2.883,-2.17,-0.973,0,0.636,1.933,-1.531,"Lower in primary tumour",3.5127345146328e-25,"Unpaired two-sample t-test","UALCAN display of CPTAC colon proteomics; not an independent cohort from CPTAC",NA
"COL1A2",TRUE,100,97,-0.152,0.989,1.385,1.874,2.607,-2.501,-0.945,0,0.565,1.701,-1.385,"Lower in primary tumour",7.25486871987094e-25,"Unpaired two-sample t-test","UALCAN display of CPTAC colon proteomics; not an independent cohort from CPTAC",NA
"FN1",TRUE,100,97,-1.916,-0.542,-0.109,0.681,2.246,-2.155,-0.591,0,0.647,2.43,0.109,"Higher in primary tumour",0.914499,"Unpaired two-sample t-test","UALCAN display of CPTAC colon proteomics; not an independent cohort from CPTAC",NA
"CLDN1",TRUE,100,97,-2.091,-1.436,-0.889,-0.603,0.642,-1.74,-0.397,0,0.821,2.297,0.889,"Higher in primary tumour",0.0002834091,"Unpaired two-sample t-test","UALCAN display of CPTAC colon proteomics; not an independent cohort from CPTAC",NA
"CLDN4",TRUE,100,97,-2.309,-0.882,-0.415,0.123,1.467,-1.666,-0.411,0.029,0.454,1.75,0.444,"Higher in primary tumour",0.01514563,"Unpaired two-sample t-test","UALCAN display of CPTAC colon proteomics; not an independent cohort from CPTAC",NA
