method,cell_type,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh
MCPcounter,T cells,191,192,5.35447857142857,4.52706785714286,0.827410714285715,5.3506856394914,4.52440543154762,0.82628020794378,8.88178419700125e-16,1.77635683940025e-15
MCPcounter,CD8 T cells,191,192,5.9531,5.5252,0.4279,5.87737120418848,5.17312552083333,0.704245683355148,0.000208382700012111,0.000208382700012111
MCPcounter,Cytotoxic lymphocytes,191,192,3.67198571428571,2.80535,0.866635714285715,3.74231421091997,2.86904836309524,0.873265847824732,3.10862446895044e-15,5.18104078158406e-15
MCPcounter,B lineage,191,192,4.4078875,3.10949375,1.29839375,4.58449554973822,3.381484765625,1.20301078411322,1.03175246124465e-11,1.28969057655581e-11
MCPcounter,NK cells,191,192,1.6553875,1.33129375,0.32409375,1.80752388743456,1.44524388020833,0.362280007226222,7.78286806113471e-08,8.64763117903856e-08
MCPcounter,Monocytic lineage,191,192,7.74154285714286,6.26457857142857,1.47696428571429,7.74513148840688,6.29212232142857,1.45300916697831,0,0
MCPcounter,Myeloid dendritic cells,191,192,4.36588,3.20928,1.1566,4.37268010471204,3.16734697916667,1.20533312554538,0,0
MCPcounter,Neutrophils,191,192,5.76368666666667,5.08357333333333,0.680113333333333,5.77749427574171,5.14803961805556,0.629454657686154,6.21724893790088e-15,8.88178419700125e-15
MCPcounter,Endothelial cells,191,192,7.39635,6.44018,0.95617,7.47356958115183,6.47822597222222,0.995343608929611,0,0
MCPcounter,Fibroblasts,191,192,12.70495,10.80636875,1.89858125,12.8381096204188,10.6579046223958,2.18020499802302,0,0
