protein,n,rho,p_value,fdr_bh_three_proteins
SMAD3_RPPA,316,0.222133126729873,6.80654236790871e-05,6.80654236790871e-05
SMAD4_RPPA,316,0.224470210531699,5.67457090759513e-05,6.80654236790871e-05
CDH1_RPPA,316,-0.345803569442198,2.63642057605971e-10,7.90926172817912e-10
