patient,compartment,SenMayo119,SASP25,FAP13,matrix4,CDKN2A,CDKN2B,CDKN1A,LMNB1,MKI67,cell_count
p007,Epithelial,-0.20022065315874416,-0.4875200131586341,-0.9904946469213591,-1.2359587718968308,4.818484370152069,4.047706256321319,4.920316893406692,3.1059612789686333,5.2503063588544565,1011.0
p007,Fibroblast,0.03127723370639511,0.31244661306386523,0.738495800404369,0.8243274550929165,1.7645125001059936,4.230362606498798,6.100683742721081,1.7645125001059936,1.7645125001059936,35.0
p008,Epithelial,-0.0049683115608496016,0.19641955275978476,-0.5088881527117615,-0.7533077689733125,4.708405332983266,4.377442342834888,5.0881741590388865,2.969882980200828,4.577528001325923,570.0
p008,Fibroblast,0.06054529083472658,0.2238495539664342,0.9408939123249672,0.9743937476887158,3.166876110809132,3.6209529477449505,5.485400729572242,1.4601606675705108,2.76505613300843,238.0
p009,Epithelial,-0.30051631897844777,-0.5892525721247357,-1.012046250012307,-0.7301867143925981,2.5767491673157754,4.331755800458735,4.472262595483926,3.8241008177737674,5.255427768383658,3986.0
p009,Fibroblast,-0.27611773994508315,-0.48553597502048057,0.8760529314398209,1.1641164100603245,1.893336986213291,2.886167541274444,4.5137554093862065,1.893336986213291,4.381788112057287,27.0
p012,Epithelial,0.0842159930559125,-0.03759775954162552,-0.8980634477552609,-1.3837306281215356,2.9409558847491213,4.114017477694139,5.082451045209435,3.410206090417573,4.406864593592783,906.0
p012,Fibroblast,0.1472986701076436,0.19826980484999976,0.4421179276566584,0.7338529234568377,1.4768165967763502,2.884516705775983,5.3168397822880555,2.675246914816955,3.8050341466881177,45.0
p013,Epithelial,-0.1674848921650003,-0.3483230194355812,-1.003110823525314,-0.9704342850144901,2.4814366150200504,3.4823450588882805,4.612361554897147,3.242420119953113,4.175093874630814,1125.0
p013,Fibroblast,0.19170000585810748,0.30190466833099994,0.638899779697345,0.7891210681103724,2.0998903100647635,3.699052734932289,5.756602809819447,2.7298474672006585,4.333825649665096,47.0
p014,Epithelial,0.07290018354148496,-0.09062297741687736,-0.8269714429921653,-0.8343198308060138,2.3475401186599294,3.835751871391111,5.205724934443345,3.3251363682708504,4.812654184669584,1277.0
p014,Fibroblast,0.34341842493356367,0.6853629420215399,1.0952728062146864,0.9155967620494285,1.7971201475784242,2.2830391353984436,5.448819340832849,1.986546486623837,1.986546486623837,123.0
p016,Epithelial,-0.10952527623746627,-0.09717752848321921,-0.8974123717290782,-0.6404870234503607,2.2238988043734595,4.23966417495453,5.443420863093578,3.700683280232603,5.373229862000828,967.0
p016,Fibroblast,0.2268645239081034,0.642522648946465,0.9815307228843072,1.0960118831746233,2.64088996872242,3.591995403172946,4.9765133548283265,1.920926073774495,3.1024510378588115,261.0
p017,Epithelial,-0.35916942261326956,-0.7882456321776842,-0.9205968492201904,-1.185220089650657,1.970009376320145,4.373624752773338,5.555514588779588,3.515025592522009,4.390936005851817,1775.0
p017,Fibroblast,0.17306675850401812,-0.1328634297682108,0.6233342005383785,0.66887711178379,3.456840793184684,3.70562920323309,4.477682433056592,2.2320643658449053,3.394402013522626,402.0
p021,Epithelial,0.017600642930783686,0.13528402713207469,-0.6223361168092307,-0.5273614361261514,4.180943425250527,3.5358621492248288,5.160708491690464,3.144858778582883,5.7287556102796415,132.0
p021,Fibroblast,-0.11504968339622225,0.3295922350533955,1.2673013703392255,1.1779761308989758,2.713308811959037,4.07551320479879,4.954353220225257,1.9820177751968384,3.4746603311015667,44.0
p026,Epithelial,0.06045697069299687,-0.1345854514966733,-0.7945268576017951,-0.9793736244496742,2.768863855360197,3.9144719191409423,4.66164467693889,3.9144719191409423,5.622189137784889,890.0
p026,Fibroblast,0.12370759998134566,0.16607231249916368,0.870547507778704,0.8961066805656375,2.605438403921035,3.2060458659087208,5.686726924466737,0.8725551797262082,0.0,93.0
