"id","a","b","diff_a_minus_b"
"SMC01",0.013348634101448,0.292072870152546,-0.278724236051098
"SMC02",0.0332009954620868,0.140807983583817,-0.10760698812173
"SMC03",0.0402204693861574,0.0634552457691771,-0.0232347763830198
"SMC04",0.0670858263056164,0.15285759483263,-0.0857717685270133
"SMC05",0,0.123142575881231,-0.123142575881231
"SMC06",0.021403163892702,0.198116458479373,-0.176713294586671
"SMC07",0.0872792397625029,0.286927547336951,-0.199648307574448
"SMC08",0.0238016100393992,0.166689996421853,-0.142888386382454
"SMC09",0,0.179933950026227,-0.179933950026227
"SMC10",0.0800072548812308,0.102600466843827,-0.022593211962596
"SMC11",0.0931433225161226,0.0530784510340175,0.0400648714821051
"SMC14",0.0321834369058154,0.219501072067048,-0.187317635161232
"SMC15",0.0197649425000787,0.0933687950872782,-0.0736038525871995
"SMC16",0,0.256409866272771,-0.256409866272771
"SMC17",0.0564263275872691,0.102485299285313,-0.0460589716980438
"SMC18",0,0.118166570878571,-0.118166570878571
"SMC19",0,0.052055407175061,-0.052055407175061
"SMC20",0.0136215847887689,0.0810907050714005,-0.0674691202826316
"SMC21",0,0.136573350388079,-0.136573350388079
"SMC22",0.387306425232515,0.186077660582143,0.201228764650373
"SMC23",0.0716992985122757,0.194658659370094,-0.122959360857818
"SMC24",0,0.127081802292003,-0.127081802292003
"SMC25",0,0.106088844809498,-0.106088844809498
