"model_id","subset","outcome","term","estimate","std_error","df","statistic","p_value","ci_low","ci_high","icc"
"B1_candidate_SenMayo","all_fibroblast_including_normal","SenMayo_mean","(Intercept)",0.365123349374744,0.00688369902776056,18.7111540988163,53.0417364126868,0.00000000000000000000073468984246128,0.351631299280333,0.378615399469155,0.0937654803914883
"B1_candidate_SenMayo","all_fibroblast_including_normal","SenMayo_mean","FAP_statusFAP+",0.0443688784016121,0.00401097755129629,3191.91727110361,11.0618615622201,0.000000000000000000000000000614122773181196,0.0365073624010714,0.0522303944021528,0.0937654803914883
"B1_candidate_SenMayo","all_fibroblast_including_normal","SenMayo_mean","MKI67",-0.0349743160091113,0.0117745231372128,3458.6270566902,-2.97033821255799,0.00299518178516567,-0.0580523813580483,-0.0118962506601743,0.0937654803914883
"B1_candidate_SASP","all_fibroblast_including_normal","SASP_mean","(Intercept)",0.416235611977459,0.0207101680684353,22.2703441864793,20.0981281562776,0.000000000000000911570666764498,0.375643682563326,0.456827541391592,0.131984706243638
"B1_candidate_SASP","all_fibroblast_including_normal","SASP_mean","FAP_statusFAP+",0.0802057743486864,0.0103151023337311,3368.71138407501,7.77556748869159,0.0000000000000099072344917352,0.0599881737745734,0.100423374922799,0.131984706243638
"B1_candidate_SASP","all_fibroblast_including_normal","SASP_mean","MKI67",-0.035462294247869,0.0301864287556966,3458.7930848366,-1.17477607354188,0.240165184859056,-0.0946276946090343,0.0237031061132964,0.131984706243638
"B1_class_adjusted_SenMayo","all_fibroblast_including_normal","SenMayo_mean","(Intercept)",0.352635676101578,0.00611347617050418,19.4484754284909,57.6816963486252,0.0000000000000000000000325368289641018,0.34065326280739,0.364618089395766,0.0610818670675164
"B1_class_adjusted_SenMayo","all_fibroblast_including_normal","SenMayo_mean","FAP_statusFAP+",0.036282835501655,0.00432891461788094,3377.28436312796,8.38150869314579,0.0000000000000000756907910532723,0.0277981628506084,0.0447675081527016,0.0610818670675164
"B1_class_adjusted_SenMayo","all_fibroblast_including_normal","SenMayo_mean","MKI67",-0.0404835047691049,0.0117885106809499,3457.90330463284,-3.43414922077696,0.000601408188784545,-0.0635889857037667,-0.0173780238344431,0.0610818670675164
"B1_class_adjusted_SenMayo","all_fibroblast_including_normal","SenMayo_mean","ClassTumor",0.0235972085705681,0.00461636785973244,1825.00499333138,5.11163955897045,0.000000352837624846282,0.0145491275654925,0.0326452895756437,0.0610818670675164
"B1_tumor_SenMayo","tumor_fibroblast","SenMayo_mean","(Intercept)",0.372338290051488,0.00854762125083363,26.5843824806301,43.5604572459472,0.0000000000000000000000000295247161895555,0.355584952399854,0.389091627703122,0.113362629398438
"B1_tumor_SenMayo","tumor_fibroblast","SenMayo_mean","FAP_statusFAP+",0.0476012069305085,0.00532128968642909,1495.81888045257,8.94542671711823,0.00000000000000000106881083834557,0.0371714791451074,0.0580309347159095,0.113362629398438
"B1_tumor_SenMayo","tumor_fibroblast","SenMayo_mean","MKI67",-0.042281297346211,0.0127728097585439,1492.6803459004,-3.31025813000374,0.000954335454178787,-0.067316004472957,-0.017246590219465,0.113362629398438
"B1_tumor_SASP","tumor_fibroblast","SASP_mean","(Intercept)",0.483085723532982,0.0227178013221748,29.5422272583386,21.2646336976917,0.000000000000000000185361172334051,0.438558832941519,0.527612614124445,0.0958313691450415
"B1_tumor_SASP","tumor_fibroblast","SASP_mean","FAP_statusFAP+",0.0629023609792223,0.0150892262625972,1490.97805807366,4.16869360194718,0.0000323972009593337,0.0333274775045318,0.0924772444539129,0.0958313691450415
"B1_tumor_SASP","tumor_fibroblast","SASP_mean","MKI67",-0.0791905457863453,0.0362654183981613,1493.96787154199,-2.1836380023775,0.0291439686222678,-0.150270765846741,-0.00811032572594916,0.0958313691450415
"B1_tumor_SenMayo_gene_z","tumor_fibroblast","SenMayo_zmean","(Intercept)",0.397535143843264,0.026975301611831,27.3779453600119,14.7370045964161,0.0000000000000153205871400589,0.344663552684075,0.450406735002453,0.130112740637219
"B1_tumor_SenMayo_gene_z","tumor_fibroblast","SenMayo_zmean","FAP_statusFAP+",0.105136524938779,0.0156177301718907,1498.70039902574,6.73186972637083,0.0000000000237828027291148,0.0745257738018734,0.135747276075685,0.130112740637219
"B1_tumor_SenMayo_gene_z","tumor_fibroblast","SenMayo_zmean","MKI67_z",-0.0342182743080035,0.0134948810984194,1491.92220106616,-2.53564844761851,0.0113252796639646,-0.0606682412609055,-0.00776830735510145,0.130112740637219
"B1_tumor_SenMayo_depth_subtype","tumor_fibroblast","SenMayo_zmean","(Intercept)",-0.99822671321123,0.0799610146803833,1199.55910192244,-12.4839175340796,0.00000000000000000000000000000000102819741388259,-1.15495030198478,-0.841503124437678,0.133721848088859
"B1_tumor_SenMayo_depth_subtype","tumor_fibroblast","SenMayo_zmean","FAP_statusFAP+",0.0238282993684298,0.0147477286201383,1492.73416846418,1.61572673204007,0.10636472252947,-0.00507724872704121,0.0527338474639008,0.133721848088859
"B1_tumor_SenMayo_depth_subtype","tumor_fibroblast","SenMayo_zmean","MKI67_z",-0.0304132944521223,0.0113488172738167,1494.51234806851,-2.67986466944797,0.00744608488909099,-0.0526569763088032,-0.00816961259544153,0.133721848088859
"B1_tumor_SenMayo_depth_subtype","tumor_fibroblast","SenMayo_zmean","log_nCount_RNA",0.150620478953113,0.0088320273458064,1494.11511178129,17.0538963542306,0.0000000000000000000000000000000000000000000000000000000000100665164450668,0.133309705355333,0.167931252550894,0.133721848088859
"B1_tumor_SenMayo_depth_subtype","tumor_fibroblast","SenMayo_zmean","Cell_subtypeStromal 1",0.224170368691732,0.0290578053853387,1500.99774691207,7.71463521484106,0.000000000000021977684051112,0.167217070136468,0.281123667246996,0.133721848088859
"B1_tumor_SenMayo_depth_subtype","tumor_fibroblast","SenMayo_zmean","Cell_subtypeStromal 2",0.132719715000807,0.0231685528302691,1298.72385034583,5.72844216784279,0.0000000125817300005008,0.0873093514534795,0.178130078548134,0.133721848088859
"B1_tumor_SenMayo_depth_subtype","tumor_fibroblast","SenMayo_zmean","Cell_subtypeStromal 3",0.388145374867345,0.0283810223181315,1458.91052728704,13.6762295070455,0.000000000000000000000000000000000000000375974931868019,0.332518571123808,0.443772178610883,0.133721848088859
"B1_tumor_SASP_depth_subtype","tumor_fibroblast","SASP_zmean","(Intercept)",-1.48359107038319,0.205313420793742,1359.82175749466,-7.22598193848035,0.000000000000826360148975427,-1.88600537513893,-1.08117676562746,0.0804659294046628
"B1_tumor_SASP_depth_subtype","tumor_fibroblast","SASP_zmean","FAP_statusFAP+",0.0322565367260713,0.0383401812161869,1497.21838715102,0.841324576537288,0.400300475597571,-0.042890218457655,0.107403291909798,0.0804659294046628
"B1_tumor_SASP_depth_subtype","tumor_fibroblast","SASP_zmean","MKI67_z",-0.0506679070610808,0.0295003602549654,1497.15418339021,-1.71753519696603,0.0860882215861363,-0.108488613160813,0.00715279903865131,0.0804659294046628
"B1_tumor_SASP_depth_subtype","tumor_fibroblast","SASP_zmean","log_nCount_RNA",0.228234733361854,0.0229556951674129,1498.63916777535,9.94240129507591,0.00000000000000000000013394738018156,0.183241570833725,0.273227895889983,0.0804659294046628
"B1_tumor_SASP_depth_subtype","tumor_fibroblast","SASP_zmean","Cell_subtypeStromal 1",0.0262521455698665,0.0753590737924099,1495.35656045172,0.348360777922811,0.727618290676003,-0.121451639063257,0.17395593020299,0.0804659294046628
"B1_tumor_SASP_depth_subtype","tumor_fibroblast","SASP_zmean","Cell_subtypeStromal 2",0.133768206993214,0.0593676485480489,1132.3131351014,2.2532172027152,0.0244361933717544,0.0174076158390378,0.25012879814739,0.0804659294046628
"B1_tumor_SASP_depth_subtype","tumor_fibroblast","SASP_zmean","Cell_subtypeStromal 3",0.419012831674196,0.0731586813402407,1326.79143678484,5.72745194415798,0.0000000125967646590723,0.275621816247324,0.562403847101067,0.0804659294046628
"B2_candidate_unadjusted","all_cells_including_normal","SenMayo_mean","(Intercept)",0.238895374911062,0.00752894501578808,22.9898640472362,31.7302589420035,0.0000000000000000000173916172195961,0.224138642680118,0.253652107142007,0.180032991992805
"B2_candidate_unadjusted","all_cells_including_normal","SenMayo_mean","compartmentFibroblast",0.134612981324975,0.0016190647340288,21994.0342333639,83.1424330946982,0,0.131439614446278,0.137786348203671,0.180032991992805
"B2_candidate_MKI67_adjusted","all_cells_including_normal","SenMayo_mean","(Intercept)",0.236181746215708,0.00756247020790618,23.031999901883,31.2307671597558,0.0000000000000000000234086747325845,0.221359304608212,0.251004187823204,0.182273353229318
"B2_candidate_MKI67_adjusted","all_cells_including_normal","SenMayo_mean","compartmentFibroblast",0.137154780546349,0.00162656083724805,21995.1907475056,84.3219493581308,0,0.133966721305343,0.140342839787355,0.182273353229318
"B2_candidate_MKI67_adjusted","all_cells_including_normal","SenMayo_mean","MKI67",0.0190189290598501,0.00154060447308641,21982.6979161817,12.3451082948942,0.0000000000000000000000000000000000675641300371694,0.0159993442926007,0.0220385138270994,0.182273353229318
"B2_candidate_SASP_adjusted","all_cells_including_normal","SASP_mean","(Intercept)",0.260277333796912,0.0184493715318657,22.986685011422,14.1076531169293,0.000000000000828744173852815,0.224116565594455,0.296438101999369,0.207495894854039
"B2_candidate_SASP_adjusted","all_cells_including_normal","SASP_mean","compartmentFibroblast",0.1792260180859,0.00366457815093322,21999.1792732485,48.9076806945046,0,0.172043444910071,0.186408591261729,0.207495894854039
