"id","a","b","diff_a_minus_b"
"SMC01",3.2464713201571,2.78729521775827,0.459176102398832
"SMC02",3.69083062313539,2.94983116413813,0.740999458997259
"SMC03",3.94930673834175,3.64119480049175,0.308111937850007
"SMC04",3.60985267223216,3.15193099544484,0.457921676787324
"SMC05",3.16872308346813,2.16283506811187,1.00588801535627
"SMC06",3.95594576580789,3.45975415681562,0.496191608992272
"SMC07",3.6072395909768,2.22846947091038,1.37877012006642
"SMC08",3.93347230676121,3.39638446631554,0.537087840445679
"SMC09",3.6047998144325,3.21867272047783,0.386127093954666
"SMC10",3.82492462379423,3.2295310510636,0.595393572730636
"SMC11",3.00439691426038,2.48609853159748,0.518298382662894
"SMC14",4.16660099055093,3.33982532846927,0.826775662081658
"SMC15",3.69214599272421,2.24478045380326,1.44736553892095
"SMC16",2.54528775160981,3.17642168665281,-0.631133935043003
"SMC17",3.9800381192277,3.35701802258191,0.623020096645789
"SMC19",2.6774140385498,1.50221450305801,1.17519953549179
"SMC20",4.06620600278347,3.66656919523947,0.399636807544003
"SMC21",3.41605190263176,2.4116410819669,1.00441082066487
"SMC23",3.31663012616704,2.99190580225308,0.324724323913957
"SMC24",3.96525003242035,2.77091210929849,1.19433792312186
"SMC25",2.77491762632942,2.49505864312888,0.279858983200534
