"id","a","b","diff_a_minus_b"
"SMC01",0.437646330065287,0.271080600049266,0.166565730016021
"SMC02",0.408014409833348,0.224464564382132,0.183549845451217
"SMC03",0.416667448690098,0.263081065228943,0.153586383461156
"SMC04",0.389156911163675,0.211238970054389,0.177917941109286
"SMC05",0.406959175565022,0.180751923747704,0.226207251817319
"SMC06",0.334900409954483,0.185795445380914,0.149104964573569
"SMC07",0.332958372077288,0.219529100380548,0.11342927169674
"SMC08",0.356652739201349,0.201673081067975,0.154979658133373
"SMC09",0.379944122872424,0.298924278952393,0.0810198439200306
"SMC10",0.370119096470529,0.248502386703584,0.121616709766945
"SMC11",0.358235700906297,0.239428483226376,0.118807217679922
"SMC14",0.421463604872735,0.236165194459371,0.185298410413364
"SMC15",0.391737785807223,0.234850134557738,0.156887651249485
"SMC16",0.38940557474752,0.229640927501955,0.159764647245565
"SMC17",0.410442373761861,0.260961201335688,0.149481172426173
"SMC18",0.456703711599667,0.275962426580927,0.18074128501874
"SMC19",0.450315696235027,0.207507943387042,0.242807752847985
"SMC20",0.405193352449337,0.30919472902342,0.0959986234259169
"SMC21",0.271574596978199,0.245898509988025,0.0256760869901738
"SMC22",0.382146323453746,0.234616865086139,0.147529458367607
"SMC23",0.41801986850536,0.183908978757059,0.234110889748301
"SMC24",0.468485851870584,0.334430266015526,0.134055585855057
"SMC25",0.428979925602526,0.247503386952406,0.18147653865012
