"analysis_id","value","group_a","group_b","n_pairs","mean_a","mean_b","difference_of_means","median_a","median_b","difference_of_medians","median_paired_difference","positive","negative","zero","wilcoxon_W","p_value"
"all_compartment_SenMayo","SenMayo_mean","Fibroblast","Epithelial",23,0.383667521085078,0.235470239230694,0.148197281854384,0.382146323453746,0.236165194459371,0.145981128994375,0.147529458367607,23,0,0,276,0.0000288884700749836
"all_compartment_SASP","SASP_mean","Fibroblast","Epithelial",23,0.447837505476563,0.256444732737376,0.191392772739187,0.445005385554295,0.254699568701946,0.190305816852349,0.178969585832146,21,2,0,272,0.0000489895014161856
"all_compartment_MKI67","MKI67","Fibroblast","Epithelial",23,0.0344250480267518,0.139799483387278,-0.105374435360527,0.0118047983865198,0.118166570878571,-0.106361772492051,-0.106985311271805,2,21,0,22,0.000443199062219152
"tumor_compartment_SenMayo","SenMayo_mean","Fibroblast","Epithelial",23,0.395031451421025,0.241091759253023,0.153939692168003,0.405193352449337,0.236165194459371,0.169028157989966,0.154979658133373,23,0,0,276,0.0000288884700749836
"tumor_compartment_SASP","SASP_mean","Fibroblast","Epithelial",23,0.502852071473433,0.267040375145106,0.235811696328328,0.482402103877443,0.261855176980237,0.220546926897206,0.243202735712436,22,1,0,275,0.0000330099622600777
"tumor_compartment_MKI67","MKI67","Fibroblast","Epithelial",23,0.0452388057336517,0.149271355375692,-0.10403254964204,0.021403163892702,0.136573350388079,-0.115170186495377,-0.118166570878571,2,21,0,24,0.000556247323105197
"tumor_fib_FAP_SenMayo","SenMayo_mean","FAP+","FAP-",21,0.417862968925428,0.367607078611491,0.050255890313937,0.426399587407244,0.369565293567102,0.0568342938401418,0.0505311765437135,19,2,0,223,0.00019995878734913
"tumor_fib_FAP_SASP","SASP_mean","FAP+","FAP-",21,0.539324550778516,0.477766948065382,0.0615576027131341,0.544808358300568,0.46015342613954,0.0846549321610279,0.0434391522487549,17,4,0,212,0.000847689150586417
"tumor_fib_FAP_matrix4","matrix4_mean","FAP+","FAP-",21,3.53316695411248,2.88896878426559,0.644198169846888,3.60985267223216,2.99190580225308,0.61794686997908,0.537087840445679,20,1,0,218,0.000392195786835359
