"id","a","b","diff_a_minus_b"
"SMC01",0.797923579385353,0.621033788765151,0.176889790620202
"SMC02",0.549839881450213,0.516298705499554,0.0335411759506586
"SMC03",0.578328178391521,0.550051609653415,0.028276568738105
"SMC04",0.676848722217852,0.579568890923066,0.0972798312947855
"SMC05",0.497608685482102,0.41238337414679,0.0852253113353119
"SMC06",0.375498640748131,0.219915870603162,0.155582770144969
"SMC07",0.383078919026342,0.388019435783489,-0.00494051675714624
"SMC08",0.496316116756381,0.402417107813958,0.0938990089424227
"SMC09",0.58573358409227,0.542294431843515,0.0434391522487549
"SMC10",0.461031252761047,0.432618266837066,0.0284129859239812
"SMC11",0.473357727334101,0.450596993435536,0.0227607338985651
"SMC14",0.60803198526512,0.631731548023026,-0.0236995627579059
"SMC15",0.472394603922499,0.372579758406073,0.0998148455164259
"SMC16",0.685084454468583,0.429000114293343,0.256084340175241
"SMC17",0.663301147298119,0.578711048640165,0.0845900986579547
"SMC19",0.544808358300568,0.537273807752762,0.00753455054780638
"SMC20",0.495767194384483,0.426676472271819,0.0690907221126639
"SMC21",0.188536457911477,0.212636359038819,-0.0240999011273422
"SMC23",0.542199322228504,0.46015342613954,0.0820458960889642
"SMC24",0.634964140944146,0.626987004030926,0.00797713691321966
"SMC25",0.615162613980033,0.642157895471854,-0.0269952814918207
