"id","a","b","diff_a_minus_b"
"SMC01",0.681899093064575,0.308792482123676,0.373106610940899
"SMC02",0.532545212600654,0.236205422169369,0.296339790431285
"SMC03",0.567488827041914,0.231788167954011,0.335700659087903
"SMC04",0.61698421065183,0.207087901002645,0.409896309649185
"SMC05",0.454996029814446,0.149065892174938,0.305930137639507
"SMC06",0.35227733177127,0.145612862837478,0.206664468933792
"SMC07",0.386896591065955,0.19150066132838,0.195395929737575
"SMC08",0.468742598257416,0.159695409300848,0.309047188956567
"SMC09",0.554705618200302,0.447808164933763,0.106897453266539
"SMC10",0.447894065720927,0.261855176980237,0.18603888874069
"SMC11",0.456804466316962,0.262385581747151,0.194418884569811
"SMC14",0.614086618086483,0.289830594480865,0.324256023605618
"SMC15",0.433336620894332,0.190133885181896,0.243202735712436
"SMC16",0.445005385554295,0.304944466908372,0.140060918645923
"SMC17",0.636588484564028,0.322301534674435,0.314286949889593
"SMC18",0.474138767195547,0.38915816949529,0.0849805977002572
"SMC19",0.539471384995872,0.19150821832771,0.347963166668162
"SMC20",0.482402103877443,0.306007727542423,0.17639437633502
"SMC21",0.206611383756984,0.254699568701946,-0.0480881849449626
"SMC22",0.449916364831925,0.278719788316372,0.171196576515554
"SMC23",0.501176374184022,0.196185753964221,0.304990620219801
"SMC24",0.632969856715841,0.47497551118122,0.157994345534621
"SMC25",0.628660254725944,0.341665687010189,0.286994567715755
