"Patient","FAP_expr","SenMayo_mean","SASP_mean","matrix4_mean","MKI67"
"SMC01",0.323780691180189,0.437646330065287,0.681899093064575,2.94529129600303,0.013348634101448
"SMC02",0.430111684280017,0.408014409833348,0.532545212600654,3.30875277708992,0.0332009954620868
"SMC03",0.544129163537527,0.416667448690098,0.567488827041914,3.83119716216592,0.0402204693861574
"SMC04",0.304260360008856,0.389156911163675,0.61698421065183,3.32805471728612,0.0670858263056164
"SMC05",0.354914805729186,0.406959175565022,0.454996029814446,2.66577907579,0
"SMC06",0.925470926614411,0.334900409954483,0.35227733177127,3.88188731670457,0.021403163892702
"SMC07",0.220285354002192,0.332958372077288,0.386896591065955,2.54182631638002,0.0872792397625029
"SMC08",0.709223806685724,0.356652739201349,0.468742598257416,3.77575603615415,0.0238016100393992
"SMC09",0.314791978118614,0.379944122872424,0.554705618200302,3.32899474732202,0
"SMC10",0.570113091525037,0.370119096470529,0.447894065720927,3.54963512242415,0.0800072548812308
"SMC11",0.229523921920694,0.358235700906297,0.456804466316962,2.62745263596009,0.0931433225161226
"SMC14",0.83503549452023,0.421463604872735,0.614086618086483,3.95538093089503,0.0321834369058154
"SMC15",0.68617610717389,0.391737785807223,0.433336620894332,3.12578556445079,0.0197649425000787
"SMC16",0.0361336836914391,0.38940557474752,0.445005385554295,3.13697581571262,0
"SMC17",0.732012830260956,0.410442373761861,0.636588484564028,3.78329493081324,0.0564263275872691
"SMC18",0.689193778105944,0.456703711599667,0.474138767195547,2.09631696247204,0
"SMC19",0.340659219581925,0.450315696235027,0.539471384995872,1.84498103424312,0
"SMC20",1.03460855898672,0.405193352449337,0.482402103877443,3.98889921050447,0.0136215847887689
"SMC21",0.303995513939999,0.271574596978199,0.206611383756984,2.66274378713311,0
"SMC22",0,0.382146323453746,0.449916364831925,2.79393670626459,0.387306425232515
"SMC23",0.45083605845211,0.41801986850536,0.501176374184022,3.15426796421006,0.0716992985122757
"SMC24",0.772315290638647,0.468485851870584,0.632969856715841,3.66666555163988,0
"SMC25",0.476028072282429,0.428979925602526,0.628660254725944,2.63498813472915,0
