"gene","n_pairs","median_difference","positive","negative","wilcoxon_W","p_value","q_value_BH"
"CDKN2A",21,0.0412698412698413,13,5,134,0.03658035079467,0.0853541518542301
"CDKN2B",21,0.0280701754385965,13,6,123.5,0.259786811990026,0.454626920982545
"CDKN1A",21,0.098139534883721,14,6,130,0.360375187544933,0.504525262562907
"LMNB1",21,0.00784313725490196,12,2,89,0.0238241460165172,0.0833845110578101
"MKI67",21,0,7,7,63,0.530158014945287,0.618517684102835
"IL6",21,0.00806118230673832,11,7,95,0.695058456956416,0.695058456956416
"CXCL8",21,0.133333333333333,17,1,165,0.000579812764233134,0.00405868934963194
