"signature","represented_genes","patients","statistic","observed","null_median","null_q025","null_q975","empirical_p_upper","percentile"
"SenMayo_nonoverlap",119,23,"mean_patient_difference",0.49883717504642,0.218886130610015,0.106573366711667,0.340343715529107,0.0001999600079984,1
"SenMayo_nonoverlap",119,23,"median_patient_difference",0.466132986623438,0.216191771799466,0.101603459157654,0.338541415282737,0.0001999600079984,1
"SenMayo_nonoverlap",119,23,"concordant_patients",23,23,21,23,0.754449110177964,1
"SASP25",25,23,"mean_patient_difference",0.739278350697784,0.405205353127457,0.0966072801282716,0.75908717081882,0.0335932813437313,0.9666
"SASP25",25,23,"median_patient_difference",0.756858299697918,0.403248022345812,0.0929531478304437,0.758610255640375,0.0263947210557888,0.9738
"SASP25",25,23,"concordant_patients",23,23,17,23,0.692861427714457,1
