"id","a","b","diff_a_minus_b"
"SMC01",0.490399594579139,0.409972486385889,0.0804271081932495
"SMC02",0.424282651475055,0.392732122230533,0.0315505292445221
"SMC03",0.429002259579733,0.396824492041556,0.0321777675381765
"SMC04",0.431044743200629,0.362977016140578,0.0680677270600517
"SMC05",0.492234469379901,0.321683881750144,0.170550587629758
"SMC06",0.35034326288646,0.246876148242219,0.103467114644241
"SMC07",0.333531039379635,0.332789940517774,0.000741098861861633
"SMC08",0.377925935331077,0.305482078240651,0.0724438570904262
"SMC09",0.430607412316368,0.359678807094846,0.0709286052215214
"SMC10",0.386397210824779,0.351191056523727,0.0352061543010521
"SMC11",0.381464922283477,0.349524742889855,0.0319401793936214
"SMC14",0.425976414110562,0.408311989379639,0.0176644247309235
"SMC15",0.421193900330604,0.345917163215298,0.0752767371153064
"SMC16",0.448146097942753,0.385489539867838,0.0626565580749147
"SMC17",0.426399587407244,0.375868410863531,0.0505311765437135
"SMC19",0.4442184724573,0.452826317790562,-0.0086078453332627
"SMC20",0.413738293400768,0.369565293567102,0.0441729998336653
"SMC21",0.325735103796992,0.253521094705268,0.0722140090917231
"SMC23",0.44777093974941,0.38826879726131,0.0595021424880999
"SMC24",0.46347297477615,0.483524483153886,-0.0200515083777361
"SMC25",0.43123706222595,0.426722788979101,0.00451427324684861
