"outcome","estimand","n_patients","estimate","ci_level","ci_method","ci_low","ci_high","seed","exact_wilcoxon_p","input_file"
"SASP25","mean paired fibroblast-minus-epithelial difference",23,0.235811696328327,0.95,"10000 patient-level percentile bootstrap resamples",0.192027460215229,0.277042489177633,20260818,0.000000476837158203125,"results/GSE132465/tumor_compartment_SASP_patient_values.csv"
"MKI67","mean paired fibroblast-minus-epithelial difference",23,-0.10403254964204,0.95,"10000 patient-level percentile bootstrap resamples",-0.142049675110935,-0.0627116085515108,20260819,0.000181436538696289,"results/GSE132465/tumor_compartment_MKI67_patient_values.csv"
