patient,fap_q75,spp1_q75,immune_q85
P6,0.497898496953949,0.376239457597623,0.0797588368201113
P8,0.346699590207596,0.280718862276846,0.055713429017435
P9,0.290837888537856,0.339037717316924,0.0679502139791448
