drug,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh,sensitivity_rank
Vincristine_1818,191,192,-1.83652445377738,-1.57384422201074,-0.262680231766637,-1.86783705951148,-1.5057188286646,-0.362118230846873,0.000252505307923078,0.000450414873592518,34
JAK1_8709_1718,191,192,4.15625086744754,4.43485852828662,-0.278607660839085,4.07113983993305,4.42220507849494,-0.35106523856189,2.62325235479337e-11,1.10511482180657e-10,35
PD0325901_1060,191,192,0.466677846574725,0.793514282333465,-0.32683643575874,0.447563526424738,0.793565374793571,-0.346001848368833,2.6751508397584e-07,7.25588857907072e-07,36
CDK9_5038_1709,191,192,-2.42771699525228,-2.0756154781862,-0.352101517066084,-2.37574342669447,-2.03889695877676,-0.336846467917716,2.26369170861685e-09,7.59679590349383e-09,37
Nilotinib_1013,191,192,3.73117356508088,4.03658583569627,-0.30541227061539,3.70597667386921,4.04265039433517,-0.336673720465953,2.42418112512479e-07,6.66649809409316e-07,38
MIRA-1_1931,191,192,5.48701368500281,5.79265720876079,-0.305643523757979,5.47289718171082,5.80142407662683,-0.328526894916005,4.35487998002512e-10,1.69071810989211e-09,39
VX-11e_2096,191,192,2.78299401043856,3.12206149377778,-0.339067483339224,2.82387473563865,3.14740260554901,-0.323527869910361,8.74701022663497e-07,2.19228863908066e-06,40
Staurosporine_1034,191,192,-3.06563992392558,-2.78904362300853,-0.276596300917048,-3.07650997537969,-2.76177815827965,-0.314731817100043,1.09003081896039e-12,5.53400261933738e-12,41
Eg5_9814_1712,191,192,-2.9914859714817,-2.75880960431031,-0.232676367171392,-3.05339479070221,-2.74840327665037,-0.304991514051839,1.06048810828038e-06,2.56069079804288e-06,42
BPD-00008900_1998,191,192,4.40515801599469,4.70290858040593,-0.297750564411238,4.42020953026042,4.72179509842611,-0.301585568165691,2.40402749991069e-12,1.16096937800565e-11,43
Podophyllotoxin bromide_1825,191,192,-0.681742081660216,-0.458602657186366,-0.22313942447385,-0.67494502840522,-0.373761004069425,-0.301184024335794,5.15685679489278e-07,1.34349690182733e-06,44
