drug,mean_difference,median_difference,p_value,fdr_bh,sensitivity_rank
MG-132_1862,-0.165123111339181,-0.16585450101998,6.06936210200827e-07,1.465528897802e-06,76
Obatoclax Mesylate_1068,-0.163279102052255,-0.209236694452001,1.15895047216704e-06,2.66828131964041e-06,77
Vorinostat_1012,-0.160991401466565,-0.159587721828039,0.000280215606751886,0.000495381161936371,78
MK-2206_1053,-0.160167354409887,-0.228454038668474,0.000876659158321536,0.00142277469957102,79
AZD2014_1441,-0.15963249370144,-0.133062482117826,9.46323113142002e-14,4.68429941005291e-13,80
Paclitaxel_1080,-0.15855731103923,-0.160889275161093,0.057159807832,0.0702959127374906,81
Docetaxel_1819,-0.158275647055523,-0.226986673604212,0.12238503507134,0.144239505619794,82
Ulixertinib_2047,-0.157147623712361,-0.194272771393594,0.000242683554227401,0.000440838015936013,83
Ruxolitinib_1507,-0.15538997740342,-0.105102227602493,0.00071277895950409,0.00118596835278832,84
Foretinib_2040,-0.15411805845663,-0.119532459241932,0.00022986684385441,0.000421422547066419,85
IGF1R_3801_1738,-0.152514562038648,-0.127198575506102,0.0735397539458931,0.0877160920559448,86
I-BET-762_1624,-0.151668747313535,-0.120122490078205,0.000710385853254294,0.00118596835278832,87
Mirin_1048,-0.151026492884164,-0.159444582823763,5.42919742281798e-05,0.000103363566319035,88
LGK974_1598,-0.149289002338904,-0.139422117328616,0.00600215107564207,0.00893553318027917,89
MN-64_1854,-0.146985480151369,-0.129558628269767,5.63687637795149e-09,1.71707926589907e-08,90
Sinularin_1838,-0.143776097225526,-0.132277662857517,1.08688799923281e-05,2.19595738620507e-05,91
Epirubicin_1511,-0.143641881716681,-0.143013008458403,0.00952590654460842,0.0134723535416605,92
AZD5153_1706,-0.141367058081203,-0.11315237194972,0.0388777126309243,0.0496631425866001,93
AZD7762_1022,-0.140924299565913,-0.126276360562877,0.00640231215682018,0.0094601328884358,94
Buparlisib_1873,-0.140733636487987,-0.131929217316284,4.54984652530401e-07,1.13153576588587e-06,95
Palbociclib_1054,-0.140569931560036,-0.107827229054802,0.0294674176300791,0.0383851887549714,96
CDK9_5576_1708,-0.138017130450069,-0.133302532491072,0.000641971046311181,0.00108641253991123,97
Luminespib_1559,-0.136342759489844,-0.123644471200947,0.0459072676482478,0.0575293607237536,98
GSK591_2110,-0.136105459815024,-0.0849485455171521,0.0110864493656764,0.0155682054922265,99
Olaparib_1017,-0.13404674347682,-0.114419725312071,0.00800972793753923,0.0115761031506041,100
Uprosertib_1553,-0.128644392264382,-0.0917075562149607,0.000276230951619599,0.000492736292078204,101
OF-1_1853,-0.118120053647984,-0.154699697515752,0.000862248117892324,0.00141095146564198,102
BIBR-1532_2043,-0.111024996469216,-0.141339042751507,0.00115095463636276,0.00182311214399861,103
Venetoclax_1909,-0.108365319634446,-0.0290576931180833,0.224961644918819,0.255990837321414,104
EPZ004777_1237,-0.103735175483393,-0.115961776931455,0.00332495614344796,0.00514329153439606,105
Telomerase Inhibitor IX_1930,-0.101629368915754,-0.110235949027687,0.0197355883514871,0.0268969078740018,106
AZ6102_2109,-0.100400680818796,-0.0784643660821787,0.0250942747798195,0.0333467544053978,107
ABT737_1910,-0.0997942862187826,-0.0965777105770642,0.0604958136780522,0.0734857123205788,108
GSK2578215A_1927,-0.0942381461399133,-0.0689267958133559,0.00766617124597649,0.0111610434316422,109
Dactinomycin_1811,-0.0942304573760504,-0.150500086591467,0.074735970923414,0.0886091152265627,110
