outcome,predictor,n_cells,n_patients,slope,ci_low,ci_high,t_value,df,p_value,normalization,source
matrix4,FAP,1501,23,0.253,0.213,0.294,12.21,1495.95,9.17e-33,"log1p full-library counts per 10000; patient random intercept; Satterthwaite",AJCR v5.7 Table 3
receptor2,FAP,1501,23,-0.021,-0.062,0.019,-1.03,1490.11,0.302,"log1p full-library counts per 10000; patient random intercept; Satterthwaite",AJCR v5.7 Table 3
