program,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Troph_MMPplus,4.0244214314745805e-31,2.99857988811572,0.857,0.193,1.44283557161227e-26,trophocyte-like CAF MMP+,POSTN
Troph_MMPplus,9.89858340779287e-19,2.99342580848541,0.5,0.094,3.5488401233619e-14,trophocyte-like CAF MMP+,IFIT1
Troph_MMPplus,8.70559300704458e-21,2.99145954901567,0.357,0.043,3.12112920488562e-16,trophocyte-like CAF MMP+,CILP
Troph_MMPplus,3.13795353304252e-24,2.97502106197879,0.286,0.023,1.1250191006663999e-19,trophocyte-like CAF MMP+,GXYLT2
Troph_MMPplus,5.756731702165399e-29,2.97452198444864,0.786,0.152,2.0639034498603402e-24,trophocyte-like CAF MMP+,MMP11
Troph_MMPplus,6.15973376807009e-41,2.96146720312131,0.786,0.116,2.20838775052849e-36,trophocyte-like CAF MMP+,FBLN2
Troph_MMPplus,8.03331345069622e-19,2.94817844767116,0.405,0.061,2.88010353834361e-14,trophocyte-like CAF MMP+,CCL11
Troph_MMPplus,4.70945093050904e-26,2.94223825209649,0.5,0.068,1.6884323476061e-21,trophocyte-like CAF MMP+,TSKU
Troph_MMPplus,1.5448126733465999e-34,2.90738707812512,0.952,0.249,5.53846239648225e-30,trophocyte-like CAF MMP+,CTSK
Troph_MMPplus,3.65820688483859e-16,2.90644536895537,0.286,0.035,1.3115403323523299e-11,trophocyte-like CAF MMP+,SRPX2
Troph_MMPplus,2.06174586877693e-33,2.90501295340141,0.69,0.104,7.391771288739039e-29,trophocyte-like CAF MMP+,PTK7
Troph_MMPplus,1.07101893680624e-24,2.8917530714793,0.857,0.265,3.83981709223773e-20,trophocyte-like CAF MMP+,HSPH1
Troph_MMPplus,1.2464448905846701e-20,2.88967805036107,0.429,0.061,4.468754221724169e-16,trophocyte-like CAF MMP+,RSAD2
Troph_MMPplus,5.0333122784645595e-34,2.8888976975258,0.476,0.046,1.80454311807511e-29,trophocyte-like CAF MMP+,GAS1
Troph_MMPplus,5.18072646600799e-35,2.88289401332467,0.833,0.159,1.8573940525931797e-30,trophocyte-like CAF MMP+,ANGPTL2
Troph_MMPplus,1.64822268634059e-17,2.87296528129113,0.333,0.045,5.9092079750683e-13,trophocyte-like CAF MMP+,CMPK2
Troph_MMPplus,3.98993830252917e-31,2.87259783825702,0.452,0.046,1.43047268022276e-26,trophocyte-like CAF MMP+,SFRP4
Troph_MMPplus,2.84128709837535e-22,2.86874651056295,0.476,0.07,1.01865825050953e-17,trophocyte-like CAF MMP+,HSPA6
Troph_MMPplus,1.81873339791654e-19,2.85505021824448,0.333,0.04,6.520522978210381e-15,trophocyte-like CAF MMP+,CDCP1
Troph_MMPplus,8.093707259888931e-47,2.8540340856285,0.595,0.052,2.90175592681538e-42,trophocyte-like CAF MMP+,FIBIN
Troph_MMPplus,4.6137018812662804e-24,2.85059788266491,0.714,0.151,1.65410439847159e-19,trophocyte-like CAF MMP+,CCDC71L
Troph_MMPplus,2.25007747739416e-22,2.84107995615081,0.881,0.3,8.06697777195356e-18,trophocyte-like CAF MMP+,IFI6
Troph_MMPplus,1.40570932930046e-25,2.84087266594479,0.571,0.09,5.03974908740801e-21,trophocyte-like CAF MMP+,MAFB
Troph_MMPplus,6.967882760482331e-31,2.84068080822208,0.5,0.055,2.49812532728813e-26,trophocyte-like CAF MMP+,BHLHE41
Troph_MMPplus,3.01135844886226e-22,2.82701988915051,0.357,0.04,1.0796322310861e-17,trophocyte-like CAF MMP+,SDK1
Troph_MMPplus,7.1765863407912896e-40,2.81689815655505,0.786,0.112,2.57294973490049e-35,trophocyte-like CAF MMP+,PHLDA3
Troph_MMPplus,1.23457806359794e-28,2.7913448657523,0.929,0.283,4.42620927361132e-24,trophocyte-like CAF MMP+,COL12A1
Troph_MMPplus,2.5364122971478696e-36,2.79086333068398,0.81,0.139,9.09354536773454e-32,trophocyte-like CAF MMP+,SERPINE2
Troph_MMPplus,2.6524321687303103e-19,2.78239720277172,0.714,0.189,9.5094998113319e-15,trophocyte-like CAF MMP+,PLAU
Troph_MMPplus,2.1877140816243402e-20,2.78061918854651,0.286,0.028,7.84339252543959e-16,trophocyte-like CAF MMP+,NOX4
Troph_MMPplus,1.3538546706889499e-34,2.77860611305964,0.643,0.082,4.85383976535401e-30,trophocyte-like CAF MMP+,BICC1
Troph_MMPplus,2.90766832929184e-24,2.77407183248614,0.381,0.042,1.04245724941771e-19,trophocyte-like CAF MMP+,GLI2
Troph_MMPplus,1.21478025110962e-34,2.75787574050469,0.571,0.064,4.3552301562782196e-30,trophocyte-like CAF MMP+,LSAMP
Troph_MMPplus,4.40610947428207e-39,2.75712951952557,0.714,0.091,1.57967836871961e-34,trophocyte-like CAF MMP+,COL16A1
