program,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Troph_MMPminus,9.48259825845511e-23,2.94516832149263,0.46,0.075,3.39970112762133e-18,trophocyte-like CAF MMP-,SSC5D
Troph_MMPminus,8.358938426722691e-31,2.94310269016009,0.5,0.066,2.99684660474862e-26,trophocyte-like CAF MMP-,TSKU
Troph_MMPminus,1.8047128113772102e-35,2.8954289017991,0.62,0.091,6.47025637134958e-31,trophocyte-like CAF MMP-,LOXL1
Troph_MMPminus,5.439391548554921e-25,2.89375595858648,0.28,0.025,1.95013065798791e-20,trophocyte-like CAF MMP-,PTGFR
Troph_MMPminus,2.05941489883156e-26,2.88435214070621,0.34,0.035,7.3834142952909e-22,trophocyte-like CAF MMP-,COL8A2
Troph_MMPminus,4.35746942695699e-47,2.87818455562061,0.78,0.111,1.5622399389526198e-42,trophocyte-like CAF MMP-,C3
Troph_MMPminus,2.33270865716929e-38,2.85306349408595,0.56,0.066,8.36322707768335e-34,trophocyte-like CAF MMP-,BNC2
Troph_MMPminus,2.5298432434639997e-32,2.84260693725933,0.66,0.114,9.069993996467119e-28,trophocyte-like CAF MMP-,INHBA
Troph_MMPminus,8.29574741169214e-42,2.83560599121965,0.64,0.08,2.97419136203987e-37,trophocyte-like CAF MMP-,BICC1
Troph_MMPminus,1.7168912750273698e-40,2.81801365456032,0.84,0.153,6.15539859922813e-36,trophocyte-like CAF MMP-,DPYSL3
Troph_MMPminus,3.6170680862712997e-37,2.81324473628518,0.72,0.116,1.29679125028999e-32,trophocyte-like CAF MMP-,PDPN
Troph_MMPminus,1.0713490191686699e-26,2.78815761798954,0.42,0.053,3.8410005035235097e-22,trophocyte-like CAF MMP-,FIBIN
Troph_MMPminus,5.54883388779716e-41,2.7712654608118,0.98,0.234,1.9893679254530398e-36,trophocyte-like CAF MMP-,VCAN
Troph_MMPminus,1.51715263470446e-27,2.75773254887829,0.62,0.113,5.43929562594244e-23,trophocyte-like CAF MMP-,LTBP2
Troph_MMPminus,9.85790206599768e-15,2.75412971028023,0.34,0.065,3.53425504870149e-10,trophocyte-like CAF MMP-,TWIST1
Troph_MMPminus,7.01396731100862e-17,2.74645365820969,0.54,0.142,2.5146475603428097e-12,trophocyte-like CAF MMP-,SERPINE2
Troph_MMPminus,5.70991348867461e-29,2.74625466381825,0.88,0.239,2.04711818395962e-24,trophocyte-like CAF MMP-,MXRA5
Troph_MMPminus,1.92729220322632e-29,2.72137432999393,0.52,0.074,6.909728007007e-25,trophocyte-like CAF MMP-,ITGA11
Troph_MMPminus,5.74944293175264e-16,2.70486647744925,0.28,0.04,2.0612902798919598e-11,trophocyte-like CAF MMP-,FAM20A
Troph_MMPminus,1.4641600987989702e-15,2.7007716565967,0.36,0.066,5.24930678621406e-11,trophocyte-like CAF MMP-,DACT1
Troph_MMPminus,1.3960464096026302e-09,2.69145044640664,0.28,0.064,5.00510558770735e-05,trophocyte-like CAF MMP-,TNFAIP6
Troph_MMPminus,1.32748929196149e-25,2.68900939864545,0.34,0.036,4.75931460954034e-21,trophocyte-like CAF MMP-,ROR2
Troph_MMPminus,4.5213097952746e-47,2.68437085886049,0.8,0.113,1.6209799878018498e-42,trophocyte-like CAF MMP-,FBLN2
Troph_MMPminus,7.45320530520731e-35,2.65756867212744,0.84,0.18,2.67212316602292e-30,trophocyte-like CAF MMP-,ISLR
Troph_MMPminus,2.58934556923033e-25,2.63396408676917,0.58,0.107,9.28332173480459e-21,trophocyte-like CAF MMP-,CREB3L1
Troph_MMPminus,6.60239297235875e-20,2.63052892419933,0.62,0.156,2.3670899284500603e-15,trophocyte-like CAF MMP-,ADAMTS2
Troph_MMPminus,2.40557210687161e-19,2.59329162818795,0.36,0.054,8.6244571175561e-15,trophocyte-like CAF MMP-,BTBD19
Troph_MMPminus,6.907769503254129e-11,2.58832053081683,0.26,0.049,2.47657352230667e-06,trophocyte-like CAF MMP-,GAS1
Troph_MMPminus,1.0427898577040799e-18,2.58445304892876,0.48,0.097,3.73861019784068e-14,trophocyte-like CAF MMP-,RNF144A
Troph_MMPminus,1.31784296466702e-24,2.57703520660166,0.48,0.075,4.7247305969241805e-20,trophocyte-like CAF MMP-,TPST1
Troph_MMPminus,1.38145670664634e-27,2.56616263389326,0.68,0.134,4.95279858466847e-23,trophocyte-like CAF MMP-,GPX8
Troph_MMPminus,8.69910518073985e-35,2.55747502509622,1.0,0.337,3.1188031893988497e-30,trophocyte-like CAF MMP-,DCN
Troph_MMPminus,2.48729498002361e-14,2.54751616864357,0.26,0.038,8.91744996238063e-10,trophocyte-like CAF MMP-,SLC12A8
Troph_MMPminus,1.35170375925133e-21,2.5450724118839,0.54,0.107,4.84612831766787e-17,trophocyte-like CAF MMP-,LXN
Troph_MMPminus,2.3781069920180503e-25,2.52583597821834,0.44,0.061,8.52598918778311e-21,trophocyte-like CAF MMP-,PDGFC
Troph_MMPminus,1.67368741474246e-17,2.50695063015545,0.34,0.053,6.00050411933467e-13,trophocyte-like CAF MMP-,KIAA1755
Troph_MMPminus,3.03119924179124e-28,2.49804653715376,0.66,0.123,1.0867455521669901e-23,trophocyte-like CAF MMP-,TSHZ2
Troph_MMPminus,5.56727325111323e-18,2.49740181490165,0.34,0.051,1.99597880598912e-13,trophocyte-like CAF MMP-,IGDCC4
Troph_MMPminus,1.7370048513020302e-15,2.49176431199755,0.26,0.035,6.22750979288804e-11,trophocyte-like CAF MMP-,SRPX2
Troph_MMPminus,1.6242972919983298e-42,2.4883407994809,0.86,0.147,5.8234306512724e-38,trophocyte-like CAF MMP-,GPNMB
Troph_MMPminus,3.71659366633412e-14,2.48731126921243,0.28,0.045,1.33247316125411e-09,trophocyte-like CAF MMP-,SLC36A1
Troph_MMPminus,3.01493377240794e-37,2.4856194841887,0.96,0.24,1.0809140560837e-32,trophocyte-like CAF MMP-,FBLN1
Troph_MMPminus,2.45314469115079e-26,2.46415394729207,0.62,0.115,8.7950143467138e-22,trophocyte-like CAF MMP-,FOXP4
Troph_MMPminus,2.66519204145586e-33,2.46410990570418,0.62,0.091,9.55524650702754e-29,trophocyte-like CAF MMP-,COL16A1
Troph_MMPminus,5.01963511446111e-22,2.46288105650993,0.88,0.297,1.7996395812366e-17,trophocyte-like CAF MMP-,AEBP1
Troph_MMPminus,8.18837214251714e-17,2.45988366313285,0.34,0.055,2.93569518053525e-12,trophocyte-like CAF MMP-,EPDR1
Troph_MMPminus,8.360288445995111e-31,2.45937128793972,0.8,0.173,2.99733061365817e-26,trophocyte-like CAF MMP-,SULF2
Troph_MMPminus,3.16477591398834e-21,2.44948224767014,0.38,0.054,1.1346354606831e-16,trophocyte-like CAF MMP-,DNM1
Troph_MMPminus,7.200739713002029e-36,2.44751221766761,0.68,0.101,2.5816092019054903e-31,trophocyte-like CAF MMP-,CLMP
Troph_MMPminus,3.12242322040138e-21,2.44485621171559,0.56,0.112,1.1194511729783e-16,trophocyte-like CAF MMP-,PRELP
Troph_MMPminus,8.40007287371586e-22,2.4389415960345,0.48,0.083,3.01159412668461e-17,trophocyte-like CAF MMP-,MYH10
Troph_MMPminus,3.9465921880166804e-21,2.43632059410962,0.7,0.195,1.4149322312477399e-16,trophocyte-like CAF MMP-,POSTN
Troph_MMPminus,1.4988048055174998e-19,2.43402880020421,0.84,0.324,5.373514988741341e-15,trophocyte-like CAF MMP-,IGFBP5
