program,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Telocyte_CAF,3.1439931373244704e-15,3.40988820494338,0.308,0.016,1.12718441959357e-10,telocyte-like CAF,GRP
Telocyte_CAF,7.018695340845079e-18,3.40423601977967,0.846,0.111,2.5163426535997797e-13,telocyte-like CAF,AGT
Telocyte_CAF,2.0320224624365103e-15,3.40129126992216,0.769,0.106,7.285206932327389e-11,telocyte-like CAF,SERTAD1
Telocyte_CAF,1.19691915715473e-06,3.38859973419102,0.308,0.04,0.0429119456223114,telocyte-like CAF,COL8A2
Telocyte_CAF,6.36613010171177e-16,3.38546594299593,0.538,0.047,2.2823849640657e-11,telocyte-like CAF,EPHB3
Telocyte_CAF,1.41482690866443e-13,3.37756406554941,0.692,0.094,5.072437432943711e-09,telocyte-like CAF,TUBB2A
Telocyte_CAF,2.22125895500223e-21,3.37273259133905,0.692,0.058,7.96365760547399e-17,telocyte-like CAF,EMID1
Telocyte_CAF,4.10064971401356e-13,3.36816513181108,0.692,0.099,1.47016493546814e-08,telocyte-like CAF,ALDH1A3
Telocyte_CAF,2.96881115219653e-07,3.36303508592409,0.308,0.037,0.010643781742855,telocyte-like CAF,UBTD1
Telocyte_CAF,3.57381717216262e-13,3.35369262918482,0.538,0.058,1.28128493256374e-08,telocyte-like CAF,CPXM1
Telocyte_CAF,1.02896125445173e-18,3.33084836500548,0.692,0.066,3.68903188946034e-14,telocyte-like CAF,PDGFC
Telocyte_CAF,1.71993375548085e-13,3.32966300099554,0.462,0.042,6.166306500149961e-09,telocyte-like CAF,CCDC8
Telocyte_CAF,5.610669535429929e-28,3.32351458027891,1.0,0.09,2.01153724184234e-23,telocyte-like CAF,PODN
Telocyte_CAF,1.0957819761892701e-14,3.32330835498577,0.846,0.135,3.92859754103375e-10,telocyte-like CAF,ICAM1
Telocyte_CAF,2.45271831899792e-13,3.32206778386676,1.0,0.263,8.793485717271361e-09,telocyte-like CAF,SPON2
Telocyte_CAF,1.82535315779326e-16,3.30686629231072,0.846,0.125,6.54425614132041e-12,telocyte-like CAF,PDPN
Telocyte_CAF,5.44160353873101e-18,3.30570837383081,0.615,0.054,1.9509237007058399e-13,telocyte-like CAF,IGDCC4
Telocyte_CAF,5.14133064774837e-09,3.30399634858632,0.538,0.086,0.000184326986383,telocyte-like CAF,SNED1
Telocyte_CAF,1.4406415044213802e-15,3.30373553871566,0.769,0.102,5.164987921651509e-11,telocyte-like CAF,TSPAN33
