protein,n_high,n_low,median_high,median_low,median_difference,p_value,fdr_bh_two_tests
CLDN1,7,11,-0.157,0.101,-0.258,0.204821679577382,0.409643359154764
CLDN4,36,35,-0.14,-0.209,0.069,0.958723286950937,0.958723286950937
