x,y,n,rho,p_value,fdr_bh_six_tests
FAP,COL1A1,97,0.719734376556534,9.8780877929225e-17,1.9756175585845e-16
FAP,COL1A2,97,0.728631354958353,2.69465613149511e-17,8.08396839448533e-17
FAP,FN1,97,0.813896760693003,3.94931393269392e-24,2.36958835961635e-23
FAP,CLDN4,71,-0.089521957121188,0.457827639527808,0.549393167433369
ECM_protein_score,CLDN4,71,-0.179328962616802,0.134551748411897,0.201827622617845
ECM_protein_score,CLDN1,18,-0.087719298245614,0.729258750733904,0.729258750733904
