file,old_exists,new_exists,old_bytes,new_bytes,old_sha256,new_sha256,byte_identical,table_status,old_nrow,old_ncol,new_nrow,new_ncol,numeric_diff_cells,character_diff_cells,max_abs_numeric_diff,differing_columns,read_error
L0_TCGA_primary_sensitivity/cms_kruskal_wallis.csv,TRUE,TRUE,69,69,432965bd517e0b50532973c6f8feb5966e539ebef5e6787e58adfbb89665ed0a,432965bd517e0b50532973c6f8feb5966e539ebef5e6787e58adfbb89665ed0a,TRUE,identical_values,1,4,1,4,0,0,0,"",""
L0_TCGA_primary_sensitivity/cms_score_summary.csv,TRUE,TRUE,283,283,f1e9c2ce0c8fc96411dc17d640a1130a0a2946b30a0f8351343bbf4a0c0de925,f1e9c2ce0c8fc96411dc17d640a1130a0a2946b30a0f8351343bbf4a0c0de925,TRUE,identical_values,4,5,4,5,0,0,0,"",""
L0_TCGA_primary_sensitivity/score_correlations.csv,TRUE,TRUE,315,315,b20409cfaf06b078cec3ee20e9cbc4695cca2a08f859f0fa0aa1dc6e78ca3480,b20409cfaf06b078cec3ee20e9cbc4695cca2a08f859f0fa0aa1dc6e78ca3480,TRUE,identical_values,3,5,3,5,0,0,0,"",""
L0_TCGA_primary_sensitivity/sessionInfo.txt,TRUE,TRUE,752,752,980fdf9ca5355f7b422c39628817e57ba8af4645924f0884543e9f7d9bd7e3fd,980fdf9ca5355f7b422c39628817e57ba8af4645924f0884543e9f7d9bd7e3fd,TRUE,not_tabular,,,,,,,,,
L0_TCGA_primary_sensitivity/tcga_primary_scores.csv,TRUE,TRUE,37559,37559,9b67984f68e98f7a79a01d440f4b7adc0319b529b15d8d1721a27b69b69c57b9,9b67984f68e98f7a79a01d440f4b7adc0319b529b15d8d1721a27b69b69c57b9,TRUE,identical_values,431,5,431,5,0,0,0,"",""
L0_TCGA_primary_sensitivity/tumour_normal_gene_comparisons.csv,TRUE,TRUE,317,317,d210526d4d781a697244747b7ad2faf34ae9518400fc9df32bd51f197eafea22,d210526d4d781a697244747b7ad2faf34ae9518400fc9df32bd51f197eafea22,TRUE,identical_values,4,8,4,8,0,0,0,"",""
L1_Harmony/harmony_cell_counts.csv,TRUE,TRUE,233,233,2728b8c1fa85e0547e64073c4c4d7f4aa584740f2eb7e9d2ef2cd0ac82cd46e2,2728b8c1fa85e0547e64073c4c4d7f4aa584740f2eb7e9d2ef2cd0ac82cd46e2,TRUE,identical_values,10,3,10,3,0,0,0,"",""
L1_Harmony/harmony_qc.csv,TRUE,TRUE,125,125,653dc9c684c63d31f5c9f08fbbd2e467f655cd473aee80da2e638d7d84d7cc61,653dc9c684c63d31f5c9f08fbbd2e467f655cd473aee80da2e638d7d84d7cc61,TRUE,identical_values,1,6,1,6,0,0,0,"",""
L1_Harmony/harmony_umap_embeddings.csv.gz,TRUE,TRUE,3133249,3133249,374487f66b05fdd103c26309df4d200a9a24d91b7544e138d1abb0bba511c411,374487f66b05fdd103c26309df4d200a9a24d91b7544e138d1abb0bba511c411,TRUE,identical_values,117792,8,117792,8,0,0,0,"",""
L1_Harmony/sessionInfo.txt,TRUE,TRUE,3451,3451,ff0a67a5c9f1daac7056d974c108d358e59c29eef15214d5a0e525c87139ae96,afd46881e601d6a23547561946926ec4b6d8ed112e23a436d3030ba5954593f8,FALSE,not_tabular,,,,,,,,,
L1_single_cell/epithelial_pseudobulk_counts.tsv.gz,TRUE,TRUE,722536,722536,ccf9679e16713c740d5a6ae723db2c567cb37cae38f5265552a3de9d5826807e,ccf9679e16713c740d5a6ae723db2c567cb37cae38f5265552a3de9d5826807e,TRUE,identical_values,33694,24,33694,24,0,0,0,"",""
L1_single_cell/gse132465_annotation_counts.csv,TRUE,TRUE,2408,2408,7ccc0a723d3682f6ea0ed7e8ba212973b56305f610ac17bcc0e20f268f3089fb,7ccc0a723d3682f6ea0ed7e8ba212973b56305f610ac17bcc0e20f268f3089fb,TRUE,identical_values,66,4,66,4,0,0,0,"",""
L1_single_cell/gse132465_focused_marker_summaries.csv,TRUE,TRUE,8827,8827,665d35c53bbe424504b88467173e535f8efda6fd2dfef227da22b43e32958d68,665d35c53bbe424504b88467173e535f8efda6fd2dfef227da22b43e32958d68,TRUE,identical_values,108,7,108,7,0,0,0,"",""
L1_single_cell/gse132465_l1_qc.json,TRUE,TRUE,317,317,d344a26921eb5c71b940bb28ff4294b6fbf7f6f5bacff5090dfd1c892cedec36,d344a26921eb5c71b940bb28ff4294b6fbf7f6f5bacff5090dfd1c892cedec36,TRUE,not_tabular,,,,,,,,,
L1_single_cell/gse132465_marker_expression_by_subtype.csv,TRUE,TRUE,146861,146861,fb669e0146a25edefc31e18b144e250c5fde2b7acdd945cb3db364f5715b69af,fb669e0146a25edefc31e18b144e250c5fde2b7acdd945cb3db364f5715b69af,TRUE,identical_values,1782,9,1782,9,0,0,0,"",""
L1_single_cell/gse132465_patient_cell_counts.csv,TRUE,TRUE,36673,36673,d62f7188bcb8e6de20a833aa2b7795acafd239cb0a745ea5af04ae51aae65622,d62f7188bcb8e6de20a833aa2b7795acafd239cb0a745ea5af04ae51aae65622,TRUE,identical_values,915,5,915,5,0,0,0,"",""
L1_single_cell/myofibroblast_pseudobulk_counts.tsv.gz,TRUE,TRUE,399245,399245,fd08720e258f9ccb76eae5c2508c17a7947fcda66123139adebf0011f6bd9dd8,fd08720e258f9ccb76eae5c2508c17a7947fcda66123139adebf0011f6bd9dd8,TRUE,identical_values,33694,24,33694,24,0,0,0,"",""
L1_single_cell/patient_sender_burden.csv,TRUE,TRUE,765,765,90d847fad9249dd2d08c8122ab144ac30909af9069e38125e0eca4e55a35df38,90d847fad9249dd2d08c8122ab144ac30909af9069e38125e0eca4e55a35df38,TRUE,identical_values,23,5,23,5,0,0,0,"",""
L1_single_cell/strict_fap_high_sender_by_patient.csv,TRUE,TRUE,170,170,c6828daea35047a4c4fbd51a24263f5548dadc3c1ab95be352e1bee4a5f26ed1,c6828daea35047a4c4fbd51a24263f5548dadc3c1ab95be352e1bee4a5f26ed1,TRUE,identical_values,16,2,16,2,0,0,0,"",""
L1_single_cell/strict_sender_gene_expression.tsv.gz,TRUE,TRUE,211618,211618,34e7037d9b2d6e4bec0925677ca68c9d62af5ded7ca83da6fdf4efe3baf6f368,34e7037d9b2d6e4bec0925677ca68c9d62af5ded7ca83da6fdf4efe3baf6f368,TRUE,identical_values,33694,5,33694,5,0,0,0,"",""
L1_TISCH_GSE166555/gse166555_qc.json,TRUE,TRUE,429,429,683abe744fefe819c09d83c9a88b327f991a02a6936fd0fd4026055a3686c803,683abe744fefe819c09d83c9a88b327f991a02a6936fd0fd4026055a3686c803,TRUE,not_tabular,,,,,,,,,
L1_TISCH_GSE166555/leave_one_patient_out_CLDN_core.csv,TRUE,TRUE,1737,1737,d1b6d5bf9f0a1ae0e46c00e5de99ed6f49bf35022e95dbc69d843724ba6d1b78,d1b6d5bf9f0a1ae0e46c00e5de99ed6f49bf35022e95dbc69d843724ba6d1b78,TRUE,identical_values,30,5,30,5,0,0,0,"",""
L1_TISCH_GSE166555/metadata_cell_counts.csv,TRUE,TRUE,3507,3507,c29dc1bdb95ee4e3142d41e8f4fad6283f1f00d7909d2fe9b39b735dfdd5466f,c29dc1bdb95ee4e3142d41e8f4fad6283f1f00d7909d2fe9b39b735dfdd5466f,TRUE,identical_values,108,5,108,5,0,0,0,"",""
L1_TISCH_GSE166555/paired_tumor_normal_tests.csv,TRUE,TRUE,445,445,15121db54752186e6723027551e9c07a5b1272c7bc0842aa95a0b7cf50817879,15121db54752186e6723027551e9c07a5b1272c7bc0842aa95a0b7cf50817879,TRUE,identical_values,4,7,4,7,0,0,0,"",""
L1_TISCH_GSE166555/patient_cross_compartment_scores.csv,TRUE,TRUE,2013,2013,6efa0b6847cc2994fd8b90dd60ec8c71fa45903655a3816869a8dec6c8ee9d55,6efa0b6847cc2994fd8b90dd60ec8c71fa45903655a3816869a8dec6c8ee9d55,TRUE,identical_values,11,11,11,11,0,0,0,"",""
L1_TISCH_GSE166555/patient_group_pseudobulk.csv,TRUE,TRUE,193402,193402,24cd6fa2c274083cc6109f22832ff5f98f2ae318223cfcb9717daef4241a54d7,24cd6fa2c274083cc6109f22832ff5f98f2ae318223cfcb9717daef4241a54d7,TRUE,identical_values,2574,10,2574,10,0,0,0,"",""
