"entry","SenMayo_FAP13","SenMayo_FAP13_p","SenMayo_matrix4","SenMayo_matrix4_p","SenMayo_FAP13_MKI67adj","SASP25_FAP13","colonSASP_FAP13","CDKN2A_p","CDKN2B_p","n"
"TCGA380",0.847626587295947,4.40735288080141e-106,0.751125335829341,3.66119384072249e-70,0.848303439920309,0.652958523914548,0.419631787798501,0.0006913893870506,0,380
"TCGA592",0.7555283238829,1.84189456454254e-110,0.61613910586698,3.61393553049437e-63,0.746657568277825,0.577832579157255,0.215790061810897,3.3479103271894e-06,0,592
"GSE39582",0.77024942459759,2.87762249974036e-112,0.629566029691112,8.06578652951489e-64,0.758830489122243,0.613243876479125,0.404136213067074,0.000842936672737382,1.4210854715202e-14,566
