"comparison","rho","n","p"
"raw",0.847626587295947,380,4.40735288080141e-106
"adj_CAF",0.781688894915076,380,1.62818590652033e-79
"adj_purity",0.852229403833895,380,2.12995252180954e-108
"adj_age",0.848834132851741,376,1.42465691091622e-105
"adj_MKI67",0.848303439920309,380,2.03457350175598e-106
"adj_CAF_age",0.784138608273605,376,1.69031294112951e-79
"adj_CAF_purity_MKI67",0.758380889793303,380,2.95351994757028e-72
