"test","rho","p","n"
"FAP_prot_x_ECM_prot",0.81160582789817,0,97
"FAP_prot_x_REC_prot",0.0986482221754681,0.335793291809271,97
"ECM_prot_x_REC_prot",0.0961103513570377,0.34841982063941,97
"SDC4_FAP_hi_lo",NA,0.116878030904188,97
"CD44_FAP_hi_lo",NA,0.210979755845426,97
