dataset,broad_group,N
Qi2022,B,10250
Qi2022,Stroma,10095
Qi2022,Epithelial,8940
Qi2022,T,17420
Qi2022,Myeloid,7398
GSE132465,T,23115
GSE132465,B,9146
GSE132465,Myeloid,6956
GSE132465,Epithelial,18539
GSE132465,Stroma,5933
