metric,patients,spearman_rho,p_value,fdr_bh
raw_bivariate_moran,7,0.75,0.052181400457058,0.156544201371174
adjusted_bivariate_moran,7,0.571428571428571,0.180201988911528,0.270302983367292
high_high_enrichment,6,-0.257142857142857,0.622787172011662,0.622787172011662
