sample_id,patient_id,replicate,interaction_name,interaction_name_2,pathway_name,probability,p_value,fdr_bh,significant
SN123_A595688_Rep1,A595688,Rep1,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.106952912757822,0,0,TRUE
SN123_A595688_Rep1,A595688,Rep1,FN1_SDC4,FN1 - SDC4,FN1,0.0755721558634348,0,0,TRUE
SN124_A595688_Rep2,A595688,Rep2,FN1_CD44,FN1 - CD44,FN1,0.035299724025505,0,0,TRUE
SN124_A595688_Rep2,A595688,Rep2,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.0494612712994369,0,0,TRUE
SN124_A595688_Rep2,A595688,Rep2,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.0551452062267732,0,0,TRUE
SN124_A595688_Rep2,A595688,Rep2,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.100900864192425,0,0,TRUE
SN124_A595688_Rep2,A595688,Rep2,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.110484638379388,0,0,TRUE
SN124_A595688_Rep2,A595688,Rep2,FN1_SDC4,FN1 - SDC4,FN1,0.0754329301675946,0,0,TRUE
SN123_A938797_Rep1_X,A938797,Rep1,FN1_CD44,FN1 - CD44,FN1,0.048007707527918,0,0,TRUE
SN123_A938797_Rep1_X,A938797,Rep1,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.0696410106319088,0,0,TRUE
SN123_A938797_Rep1_X,A938797,Rep1,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.0732491400660019,0,0,TRUE
SN123_A938797_Rep1_X,A938797,Rep1,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.0916725310939663,0,0,TRUE
SN123_A938797_Rep1_X,A938797,Rep1,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.0960533977325409,0,0,TRUE
SN123_A938797_Rep1_X,A938797,Rep1,FN1_SDC4,FN1 - SDC4,FN1,0.0646841223118876,0,0,TRUE
SN124_A938797_Rep2,A938797,Rep2,FN1_CD44,FN1 - CD44,FN1,0.070449518297591,0.03,0.045,TRUE
SN124_A938797_Rep2,A938797,Rep2,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.0997713638980957,0.26,0.312,FALSE
SN124_A938797_Rep2,A938797,Rep2,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.0981063587942673,0.37,0.37,FALSE
SN124_A938797_Rep2,A938797,Rep2,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.128773914495153,0,0,TRUE
SN124_A938797_Rep2,A938797,Rep2,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.126776857471096,0,0,TRUE
SN124_A938797_Rep2,A938797,Rep2,FN1_SDC4,FN1 - SDC4,FN1,0.09288913600965,0,0,TRUE
SN84_A120838_Rep1,A120838,Rep1,FN1_CD44,FN1 - CD44,FN1,0.0786830308525422,0.99,0.99,FALSE
SN84_A120838_Rep1,A120838,Rep1,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.0895312959326282,0.98,0.99,FALSE
SN84_A120838_Rep1,A120838,Rep1,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.0836069298800734,0.98,0.99,FALSE
SN84_A120838_Rep1,A120838,Rep1,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.136778939068467,0,0,TRUE
SN84_A120838_Rep1,A120838,Rep1,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.128873758112567,0,0,TRUE
SN84_A120838_Rep1,A120838,Rep1,FN1_SDC4,FN1 - SDC4,FN1,0.122194834499101,0,0,TRUE
SN84_A120838_Rep2,A120838,Rep2,FN1_CD44,FN1 - CD44,FN1,0.0534196394192128,0.02,0.02,TRUE
SN84_A120838_Rep2,A120838,Rep2,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.0630581295307142,0,0,TRUE
SN84_A120838_Rep2,A120838,Rep2,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.0653174439578295,0,0,TRUE
SN84_A120838_Rep2,A120838,Rep2,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.099794632034446,0,0,TRUE
SN84_A120838_Rep2,A120838,Rep2,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.10300312439719,0,0,TRUE
SN84_A120838_Rep2,A120838,Rep2,FN1_SDC4,FN1 - SDC4,FN1,0.0858460105696628,0,0,TRUE
