source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,sample_id,patient_id,replicate,sender_spots,receiver_spots,prespecified_direction
Tumor_stroma,Tumor_stroma,COL1A1,SDC4,0.180923406819402,0,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A2,SDC4,0.183047938366378,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Fibroblastic_stroma,COL1A2,SDC4,0.137667039061925,0.97,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor,COL1A2,SDC4,0.154587762903165,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,TRUE
Tumor_stroma,Tumor,COL1A2,SDC4,0.18783235168509,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A2,SDC4,0.172607751896905,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Tumor_stroma,COL1A2,SDC4,0.181453412719393,0.01,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,FN1,SDC4,0.0886410108001934,0.01,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Fibroblastic_stroma,FN1,SDC4,0.0700060939862652,0.26,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor,FN1,SDC4,0.0762890593755174,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,TRUE
Tumor_stroma,Tumor,FN1,SDC4,0.0970614760233414,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor_stroma,FN1,SDC4,0.0847752166797636,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Tumor_stroma,FN1,SDC4,0.0933845329563561,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,FN1,CD44,0.0791992983346938,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
