patient,AR,ARNTL,ATF1,ATF2,ATF4,ATF6,BACH1,CEBPA,CEBPB,CEBPD,CREB1,CTCF,E2F1,E2F3,E2F4,EGR1,ELK1,EPAS1,ERG,ESR1,ESR2,ETS1,ETS2,ETV4,FLI1,FOS,FOSL1,FOSL2,FOXA1,FOXL2,FOXM1,FOXO1,FOXO3,FOXO4,FOXP1,GATA2,GATA3,GLI2,HIF1A,HNF4A,HSF1,IRF1,IRF9,JUN,JUND,KLF4,KMT2A,LEF1,MITF,MYB,MYC,MYCN,NFE2L2,NFIC,NFKB1,NFKB2,NFYA,NR3C1,POU2F1,PPARA,PPARG,PRDM14,RARA,REL,RELA,RELB,RFX5,RUNX1,RUNX3,SMAD3,SMAD4,SP1,SP3,SPI1,SREBF1,SREBF2,SRF,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,STAT6,TAL1,TCF3,TCF7L2,TFAP2A,TFAP2C,TFDP1,TP53,TP63,TWIST1,USF1,USF2,VDR,WT1,YY1,ZBTB33,ZEB1,ZNF263
SMC01,2.5724059634538,-0.375478578875554,0.611872889647371,6.41330824145733,5.2551254361904,2.84763510557959,1.58171575702228,2.28469935180692,3.63265332089263,3.73287148459705,1.49385773723892,-0.0401246644973133,-0.616567740263039,-0.35782259715791,3.02321098629926,4.57777835185538,5.03879024436955,0.83143202890743,1.93739215253276,3.15872571926876,2.79706103143809,3.15273330814489,1.67385234468272,4.47314197234109,2.16552027726253,3.3208177203016,1.9479498360411,0.76069985099449,2.3952753688449,5.77862974888737,1.56592687427932,-0.143813841735277,-0.0803794280333977,1.61617875044544,-0.134049642489608,0.673468862325269,0.331453940371715,-1.41475878526131,6.48175527396985,0.730046441089574,3.06783233171145,0.847960513050516,0.439198371719231,6.45845894775016,1.80197372098779,1.82391434442932,-1.12617957388233,-0.140071233984692,1.79499931872826,1.08244747596885,8.04098161681951,-0.0322833476167167,1.77494635794504,3.01155189055086,7.12912212638224,-0.344774073692318,2.22725535467009,2.205985291665,0.67181369647747,1.85340436275223,2.29317810517277,-1.99607194757047,3.43722776024701,4.06852301459221,6.13389472325778,2.7928892808232,-2.34181591605108,0.361763832626464,0.171732617763253,6.10780037322379,3.16686871078013,6.27929276995544,2.78009316055184,2.97047006697231,-0.907782258403581,-0.448077767762459,5.73794748293789,4.08046816833378,0.185394364126085,6.74400038774,2.05904965185264,-0.107407811510082,0.110803953304978,3.01365635563498,-1.02216094040522,-0.457831951927381,0.73501739345129,3.16124489237511,1.1220192499542,0.467428536244945,4.61746115696607,0.165196376212294,0.675081377155549,2.73645863907806,3.02409096988247,0.532062612318103,0.135901270360079,-0.645035325387138,-0.383755674902878,-1.35586308380058,2.98096525533911
SMC02,2.41404173254124,-0.567711753099443,1.12671648289682,5.32653280028584,4.09550676410241,2.11298973645891,1.53674289781518,1.39573334771864,2.78188370186134,1.92274071695261,0.251060262550792,-0.512788485748188,0.0251699923127783,-0.768396296670407,2.87005390667238,3.70027608055488,3.96147112885511,0.218556370846889,2.0012855763861,2.03479465738976,2.53010885368814,2.07225151541218,0.417259002953318,3.22999484285783,1.57401832918465,2.18211515628502,0.45387580383305,-0.781564207171675,1.70870942261762,5.26823005638762,1.39638264510523,-0.115203928755551,-0.252503802075529,1.07138166123676,0.927268525825315,0.278822612315994,0.278967810740973,-0.353682320615549,6.39310097815449,-0.869101618204794,2.65453191955248,1.04539024517345,-0.967539123324338,4.68125394152353,0.240276856145338,2.19953180287626,-1.83578802457362,-0.299470645070989,1.17869007027085,1.02673129138894,8.81247095317045,0.119527819988129,1.63817728042967,3.57293344078225,5.25606830223875,0.455052324956007,1.80348435215435,2.09613965748108,0.302573343627001,0.212149338063153,2.09918416318123,-2.38884376007291,1.44408915551947,3.69257833338772,3.88917626835641,1.0371982880635,-1.44320309212511,0.0301575243284016,0.300958187592404,5.16457509049262,2.05820416173446,5.59026655944404,1.86381677690045,1.81736239211106,-2.14378656136182,-1.28114302530976,5.17062476860643,2.9072902082243,-0.426092208577223,5.07521294815143,1.90522637136922,-0.377190742441614,-0.293317624528607,2.63758493537426,-0.0760365552770728,-0.718818180674378,0.336327665110285,1.93104097678888,0.327199414535446,1.53936915170766,4.37572503353214,0.376255504205323,-0.367482731990876,1.49445785852263,1.55529886474269,-0.514411345669293,0.527675307514009,-0.252770113152177,-0.41046522404672,-2.07369790664959,3.36145724141182
SMC03,2.43280970358664,-1.14141098811771,2.03423195385301,5.25409279145498,3.68737466728058,2.99642718913698,1.63359380433236,1.18115974140053,0.874228915084941,2.55694451791053,0.998165742802919,-0.220816536413286,-0.366609869733514,-0.465692642252072,3.69908179361639,4.16149987202897,4.18967604353123,1.11582217628534,0.950455359338059,2.84151439097809,2.17040138724024,1.26191610013461,0.792183114615416,3.40682293713273,1.10144707475657,1.85156186268775,1.07891996711002,-0.505733824315547,2.64230698532398,2.52171748122847,1.88072940323964,-0.0493595368107836,-0.276878436344327,0.732370084289095,0.720780260148305,0.167731601367709,0.377832311484821,-1.73843700092385,6.43454314735715,0.024264244646157,2.50826297480236,-0.645079411910642,-1.8015939300827,3.74475814696388,0.680549930908695,1.72557948768235,-3.19694384639338,0.176797234760003,0.696349057263032,1.38556017649734,8.58148507981757,-0.275881129958926,1.11913307546045,2.60162770736299,1.71058189533098,0.327989561706639,2.39736918973009,1.78317693162765,1.68003167799878,-0.123716379063984,1.57943875397907,-2.63991065869425,1.83912792162751,2.85940082849359,1.09830498742608,0.413916061438041,-2.19500528325984,-0.606083597158499,-0.697720261116735,6.01125830422047,2.5042564534406,5.44498583950985,2.84789851126154,0.658312790065519,-1.34898752307371,-0.92824892097867,6.00052953030989,1.1861075799164,-2.18157642350944,3.61334368325889,0.801425273922426,-0.0958266509762498,0.13009812839847,1.87727370002873,-0.629434794113265,-0.556901194707364,-0.1581938962931,2.29752865143691,0.845864804272562,1.55576747190857,3.20277188098448,-0.0568607484941262,0.0965412753549941,2.54450015950811,1.74266923843413,-0.810846292475831,0.123376947301662,-0.340402569550301,-0.278551078753885,-2.76970547844206,2.78448356409111
SMC04,1.85588231814127,-1.00211447256849,2.08736528115535,5.7310783794738,4.48814778534623,2.04526642169051,1.60775395895095,2.66425079261077,4.52561680503686,3.74781028168666,0.845355242135244,0.146386738696039,0.642699784968812,-0.134450884585249,4.6443484700288,3.55371277375985,4.5100623077928,0.776182176611605,3.19676969630691,2.52791553253265,2.67655411411114,3.28657756930835,2.10317753453002,3.66132284273218,2.32982784489475,3.72547304088647,3.36651445016599,0.804297140091085,1.33172702863242,5.74096000606121,1.81940518784529,0.341492105107932,-0.581763901215899,0.924212430641689,1.17140915773542,0.776937890527724,0.0576033417820349,-1.49386615527149,5.58200255158016,-0.0753141635131018,1.64458951686252,0.725340432995509,-0.159445415892657,6.43992072107127,1.93807129242831,1.33046653509124,-1.44310420260278,-0.171252890538745,1.35051624272252,1.83669556487529,8.87072480740483,0.570926583334187,1.73969742959251,2.89104995037521,6.37462032600968,-0.112503940790537,2.44591691623616,2.35049356458107,0.205997249142545,-0.209028137648584,1.48956074001873,-2.87657117227711,1.82853115660596,3.26185214348483,5.01438498303014,1.40789032657024,-0.567426830730459,0.193286208827142,-0.599291929681487,5.96654458446541,2.38509412401507,5.89197930818357,2.20300269801548,2.51731550751168,-2.28406445430801,-1.0039983180252,5.43364368789367,2.76768880527371,-0.176536296200755,5.34671750478444,1.20020799417381,-0.163456760785969,-0.12317714899379,2.47429844315779,-0.55745988398201,-0.114373295729407,0.565049816919603,2.39987795937121,1.41232429373889,2.29757498095078,3.64361885452167,0.383951911123489,-0.0828491647962998,2.45206286121879,1.75806612531747,0.537987602317399,0.0753494777256986,-0.757349677956799,-0.663358761584398,-2.36690684292464,2.86195859523844
SMC06,2.59830554805861,-1.42363536873518,1.34158611522704,5.43205792718569,3.75900851705832,2.82944953110176,0.986639442760288,0.636477276649381,2.82015337337808,2.05988233412526,-0.327002859421229,-0.432491433727487,-1.23178653340497,-1.50223331636097,1.68476336989574,3.52221291529372,4.62186226216078,1.07171566141114,2.00760153183494,2.44911098676952,2.27778700901934,0.960156804209884,-0.328034566670615,3.17992536670775,1.79229435629577,1.75236966168676,0.853228015101359,-0.740860841722091,2.45605600354158,2.31426269363261,-0.313375191838789,0.112224172056843,0.149199450788674,0.641557997349696,1.33397397131637,-0.138706536054082,0.499147859246639,-1.68033651754924,5.939259806592,-0.222119970549826,3.34138124724917,-0.0672799830754107,-1.57606533791564,4.20438873805294,0.942443239024847,1.58823813564749,-3.45958744090105,-0.81954328118746,1.47199968212316,1.18097943601045,7.56754070034028,-0.437196931499044,0.771187120832872,2.76122589698093,2.1088757439415,0.527775387623855,1.9467076769993,1.84500144588389,0.84895009762778,-0.467555085930902,1.61011239751078,-3.2482309488929,1.36094898922364,2.65970672989867,1.52111951704231,0.79393823677806,-2.86662729065338,-0.280669681300608,-0.861939702484292,5.69206404805901,2.13562002354152,4.45827321449476,2.85150765275003,1.52880528058879,-1.61526735285143,-1.03826790982105,5.30588885863082,1.18298428215854,-1.65373275600102,3.91262218139773,1.04095393629038,-0.752479399333515,-0.614110538701676,2.72398483229353,-0.498719751103497,-0.918336908301073,-0.228950327659101,2.20528924343931,1.62229836984256,0.0650151196303975,3.95415986152249,-0.687211741278361,-1.49209755093253,2.38613659457456,1.95438569944529,-0.993827257486634,0.0248851001009108,-0.311785438740951,-0.356568314299508,-2.3382532303493,4.02465238259143
SMC07,1.44265440548002,-1.81513162700418,1.83610068140355,4.73838633976936,2.1810240408674,2.23080808261144,1.51639446712064,1.91242022335313,0.130845937211908,0.797336690214647,0.0576807103098259,-0.680152362839767,0.732608173519436,-0.507920390620993,5.3457448151388,3.10162944021335,2.97976898475607,-0.537247436783017,-0.0614196825559333,1.19263486619084,1.96986521981225,0.739681303290191,-0.404746978506981,2.5218034874617,0.57116038735201,-0.714306884874605,-1.6736357918363,-2.44395094083345,1.8250976179462,1.19625262580675,2.93536271828313,-1.51143032852869,-1.54041734470359,0.77636734693064,1.27241097827493,0.770212275568024,0.336769323038443,-0.699761084499817,4.00115638382095,0.0323750965380742,1.52661560732639,1.34675293777392,0.576816556746515,1.30437882573435,-2.03229117620414,1.10444657652891,-0.915860808320865,-0.322727240316458,1.36115397814009,1.54498148136662,8.48593217151849,0.580080469567287,0.742654069722607,2.70463181056415,1.47864718203976,0.620374503756285,2.24857297712603,1.76062596120683,-0.0478251829028594,-0.255504601612335,0.547619471206719,-2.85521667313034,0.466401599410795,2.48972174740408,0.9650986605754,0.207594258616458,-2.40873910864912,-0.117098617906057,1.06693824839806,3.78489602320794,0.292457457462553,4.69014879184584,2.00921909076335,2.469165491079,-1.67504272981192,-0.588640463552928,4.70884801865774,3.77652628310171,1.20399328889523,4.19426054168614,1.510197402705,-0.720467416973158,-0.465386952265769,2.51729674420912,-0.981904093069311,-0.693740592680409,0.231712231500983,1.2092751157237,0.434806874159198,3.18420373016283,2.86046727772296,0.386384398175865,-0.443563903950116,1.89977098926141,1.13417854756299,-1.1091180697898,-0.0627611112435179,-0.163926939227005,0.0254268751317107,-2.24969225590899,4.48501380472491
SMC08,2.90391225634229,-0.923245307831945,1.66931806331599,6.59623723251424,4.74217756629836,3.01091604882929,1.65844781796568,0.915908986144533,2.18368907827653,2.54750596320836,1.09002015527864,-0.253055164266091,-0.365189795208171,-0.49528979737361,2.95144750594599,3.57687555232706,5.73003692234647,0.240388368943418,1.77703235994306,2.6623233952549,3.22977087208585,2.54245225879401,1.53330445542902,3.46429082323852,1.64244552754182,2.32692258074292,1.62964588103054,0.414764919967038,1.9884497568462,5.37817950006786,0.733117053632068,0.289210666889682,0.363037739182881,1.13992556561673,-0.238696333053083,0.358575455289828,0.763979320913013,-0.899080764440253,5.85597736159548,-0.258512955043435,2.74110048784265,0.799428040968375,-0.467244195840505,4.8360782544651,1.45489608636384,2.01107783929057,-0.958973167452088,-0.26773244422857,1.34511667463567,1.44130330795095,8.05102975880645,0.0992687034967189,1.15761736715727,2.84953319996543,4.11163908185868,0.474697056575075,2.50133596203605,2.22469288276021,0.687355324789621,0.451860697852198,1.50147478947549,-1.63948942105669,2.49396995945287,3.40591536809972,3.22464849611747,0.95149621119744,-2.26994803775578,-0.421952546702987,-0.0636538171784585,6.10786568030812,2.99483439895722,5.78440630744264,2.98027347818205,2.07527284865406,-2.17543356620159,-1.72447133087394,6.25285478709668,2.88258381248325,0.47101475161176,4.52141811039894,1.48144205757606,-0.860789204525481,-0.70249566821731,3.32135472296814,-0.241372116812018,-0.671442229801104,0.30137994090752,2.06261726816411,1.18282756632855,1.20949924333285,4.63137538707251,-0.236897064400955,0.242778112741349,2.04495653552136,2.04241229770584,-0.169082664424915,0.603701598137282,-0.276929984238362,-0.96912120131701,-2.23803264127301,3.1051285475377
SMC10,2.09505105873546,-1.03227927265673,1.20880730816756,5.41392523995914,3.48527842044587,2.49030505577317,1.63743153054934,2.66256199045809,1.54433016887155,2.07492348511847,0.60327804297355,-0.354967233595379,-1.1008256954484,-0.79947703144012,2.56295178476416,3.77442079734472,3.71079635337746,0.277447328297291,1.59570857676366,2.35122977678533,3.0296258247506,1.74592178281231,0.467585140006612,2.94420694069623,1.13455186019801,1.60313582315127,1.55072559310585,-0.468675454518646,1.18865862513106,3.02680934718068,1.50780874931009,-0.311543132389898,-0.417245010013789,0.697369405613424,0.54484385122067,0.753928635647766,0.516209103560858,-1.22723533187535,5.36300134765895,-0.320839009356466,0.864140387493437,1.2825909167734,0.334152588447061,4.59930399327542,0.211922299075412,1.26411558882092,-1.32510306272352,0.120324313365558,1.38571639605604,0.978071882327884,7.91603382669374,0.127464312287919,1.25717748752041,2.37371429676646,4.45976920252837,0.328368176165635,2.73437225320449,2.56217888776584,0.83382079217371,0.23858895444752,1.74310617679731,-1.59216462236773,1.81769118580645,2.93300715572268,3.03485162916267,1.44573340801954,-0.131683589719276,0.416342529278005,0.166343576504006,5.43996730892116,2.2307971617536,5.60350407980072,2.40030733787684,2.74335929180957,-1.48647424598811,-0.918393384807481,4.84062756705617,3.52779848084938,0.860273363493333,5.01758579002304,1.60056242295556,-0.34959796428777,-0.133575012588758,2.93664354890922,-0.365602184815283,-0.143969472361733,0.464312884882861,1.48800061297691,0.0999955360900583,1.00796438982243,3.95304725495177,0.315529844046298,0.284232629767757,2.52003934253389,1.94194283278824,-0.76275000435149,0.236641985993957,-0.398969157665077,-0.497697892495216,-2.17026633585675,2.40581171658492
SMC14,2.65141463497864,-0.957095557098653,1.71421052551152,6.53636420986515,4.43369793988587,2.53954552847012,1.58927092539909,2.30712577508609,4.00092363520252,3.21655916334778,1.64255275183383,-0.0527618013958597,-0.612633254265928,-0.34214226445033,3.02396542280089,4.09971850824855,5.19607114821011,0.707776293468998,2.86948304993348,3.73911621065757,3.52951413901744,3.38775500545558,1.86926873043605,3.9016120094309,2.76079055639329,3.76945798931961,3.10110162054097,1.49727144254713,1.62650696969469,5.72227424046024,1.39678308322441,-0.00165256452037579,0.126460578917375,1.04123847392934,0.681419616177244,0.666174888409028,0.387422077593524,-1.94940948551292,6.46373159637631,0.184579292575867,2.49104162500313,0.636353503800517,-1.06190509881727,6.40890838698812,2.27133511770127,1.93151546776193,-1.99228726993649,-0.128849160344491,1.50521141799653,1.67582856057195,8.89791450020333,0.164647103285313,1.83393932217085,2.77091930602341,6.44886359242947,-0.114448587126103,2.39786902338386,1.86233647407067,0.905495102029047,0.196015273008648,1.73392415794226,-1.957801326592,2.48451199972734,3.55736139145941,5.32260436292413,1.64097876416629,-0.951640071303949,-0.208979788485231,-0.284232951506289,6.62066964120814,3.26568846308121,6.48166876977419,3.00333853174558,2.38209092850649,-1.6356388661664,-0.996167675755633,6.4961384114153,2.66806506205369,-0.743238377298706,5.7565087691894,1.72417537559142,-0.300050170370612,-0.348290263746424,3.19100406200097,-0.534465773402977,-0.617993818462481,0.442049469756526,2.61152173533428,1.58194331072131,0.953058811467108,4.05774554666845,0.503311383754508,-0.304078174127305,3.16389381935539,2.69960296888766,0.0840600201686714,0.554395299769215,-0.434265433518588,-0.732356628579879,-2.36651472604509,2.48823116800874
SMC15,2.14820584965924,-0.359630158230971,1.47603081602891,6.22075079095153,4.20560320969053,3.17781453377818,1.59835744474201,1.64954118053318,1.94752594037307,2.61181363368643,0.688962253557351,-0.214038365406221,-0.530321960213728,-0.708196990778303,2.09853959776802,3.88679262539982,4.36799413147566,0.41724351724912,1.86673981862344,2.35229549284145,3.45007605821774,2.44831952212168,1.19557918476965,3.88825033434723,2.45055126188642,2.70016232663859,1.16683032037213,-1.67900804946521,1.80515357039394,2.86049282622002,1.51725314986151,0.314244321456944,0.0860040965187475,0.892360220836149,0.74917365069205,0.610303946014722,-0.00841408549118619,-1.42499567685135,6.06195547253227,0.0410818347065503,3.6730199928825,0.662229557061173,-0.966359935110554,4.31490215682453,-0.308710058725158,2.02610706977599,-1.06324283393585,-0.610133367504106,2.18585022257278,0.984471545049774,8.22033444872071,-0.650240949729346,1.52975663019844,2.64514819442614,3.69191790727055,0.348518911898532,2.40148707926492,2.32069564825778,0.56777297688621,0.352281644127373,2.14530948695177,-2.17700947637133,2.3841427774794,2.57522629129389,2.99798441629557,1.6438303279971,-2.04791105030072,0.200327842521792,0.439881494051022,5.56765948388493,2.57479316294631,5.76100383997501,3.0051275078527,3.05215549186976,-1.63045696961702,-1.24873952908894,6.07738134495065,2.96315271494891,-0.298170940389571,4.68661784577057,2.04724104536886,-0.372120262086813,-0.410740095971129,3.00574950431836,-0.0519986186863623,-0.484980421453039,0.457791100442315,2.19815438479243,0.736127960388318,0.879465735610409,4.12245406025446,0.0618230643571624,0.242587531181785,3.08433589417058,2.88901956091286,0.144554765025871,0.691636151545648,-0.54330837568855,-0.441365539626077,-2.15517392830563,2.46306433847213
