method,feature,n_patients,high_mean,low_mean,mean_difference,wilcoxon_p,burden_rho,burden_p,wilcoxon_fdr_bh,burden_fdr_bh
DoRothEA_ULM_AB,AR,13,2.55598551175499,2.24525106261153,0.310734449143459,0.22463863892378,0.428571428571429,0.143971434687836,0.709015704103182,0.685997532132512
DoRothEA_ULM_AB,ARNTL,13,-0.811513434042712,-0.979624571450577,0.168111137407866,0.617075077451974,0.192307692307692,0.529067987234988,0.944311860949233,0.947166032841988
DoRothEA_ULM_AB,ATF1,13,1.42367008957191,1.51063038006281,-0.086960290490893,0.830324257655795,-0.214285714285714,0.482054454702368,0.975148256084132,0.947166032841988
DoRothEA_ULM_AB,ATF2,13,6.10310927071641,5.63908014641638,0.464029124300024,0.22463863892378,0.39010989010989,0.187574116133838,0.709015704103182,0.685997532132512
DoRothEA_ULM_AB,ATF4,13,3.94619735635133,3.99066209721875,-0.0444647408674164,0.943056670967043,-0.137362637362637,0.654516840294713,0.992174205913243,0.980399303852205
DoRothEA_ULM_AB,ATF6,13,2.83808996574457,2.53347823429713,0.304611731447443,0.353111234506005,0.373626373626374,0.208554059795209,0.891605867127664,0.685997532132512
DoRothEA_ULM_AB,BACH1,13,1.36592814129262,1.5960114619652,-0.230083320672586,0.0383187631494136,-0.384615384615385,0.194412919977486,0.596568346623317,0.685997532132512
DoRothEA_ULM_AB,CEBPA,13,1.72199149519689,1.85953349049894,-0.137541995302058,0.830324257655795,-0.208791208791209,0.493621819356885,0.975148256084132,0.947166032841988
DoRothEA_ULM_AB,CEBPB,13,2.64874567571686,2.23903541817654,0.409710257540319,0.617075077451974,-0.0384615384615385,0.900724302338934,0.944311860949233,0.985786910714062
DoRothEA_ULM_AB,CEBPD,13,2.38347083464244,2.48287616281262,-0.0994053281701759,0.943056670967043,-0.203296703296703,0.505314734296249,0.992174205913243,0.947166032841988
DoRothEA_ULM_AB,CREB1,13,0.668442067372006,0.762773984755698,-0.0943319173836923,0.830324257655795,-0.104395604395604,0.734303745287702,0.975148256084132,0.980399303852205
DoRothEA_ULM_AB,CTCF,13,-0.226155126651136,-0.273645386951998,0.047490260300862,0.720984861901671,0.010989010989011,0.971577682777073,0.958150934895641,0.985786910714062
DoRothEA_ULM_AB,E2F1,13,-0.737122138081995,-0.149816449978871,-0.587305688103124,0.0741455311114069,-0.615384615384615,0.0251671165518993,0.596568346623317,0.469281209611399
DoRothEA_ULM_AB,E2F3,13,-0.718872710426902,-0.504149948585766,-0.214722761841136,0.520316800507367,-0.225274725274725,0.459305142725006,0.906068911228346,0.947166032841988
DoRothEA_ULM_AB,E2F4,13,2.09540982690907,3.58526275178083,-1.48985292487176,0.0383187631494136,-0.703296703296703,0.00731856984210432,0.596568346623317,0.369587777026268
DoRothEA_ULM_AB,EGR1,13,3.56145949953544,3.77802755258346,-0.21656805304802,0.617075077451974,0.0384615384615385,0.900724302338934,0.944311860949233,0.985786910714062
DoRothEA_ULM_AB,ELK1,13,4.94535408882579,4.30294314071838,0.642410948107405,0.174735823215247,0.357142857142857,0.230929862302034,0.653641412768147,0.685997532132512
DoRothEA_ULM_AB,EPAS1,13,0.384248622766615,0.41751157330128,-0.0332629505346648,1,-0.164835164835165,0.590478988652005,1,0.980399303852205
DoRothEA_ULM_AB,ERG,13,2.31808787303476,1.62817486267352,0.689913010361246,0.0741455311114068,0.285714285714286,0.34400021825867,0.596568346623317,0.868600551103142
DoRothEA_ULM_AB,ESR1,13,2.64918709694527,2.39559119120005,0.253595905745224,0.617075077451974,0.181318681318681,0.553295009283934,0.944311860949233,0.947166032841988
DoRothEA_ULM_AB,ESR2,13,3.21565841385259,2.62905532901804,0.58660308483455,0.0383187631494135,0.71978021978022,0.00553611577578764,0.596568346623317,0.369587777026268
DoRothEA_ULM_AB,ETS1,13,2.49927967752826,2.11450483398522,0.38477484354304,0.520316800507367,0.00549450549450549,0.985786910714062,0.906068911228346,0.985786910714062
DoRothEA_ULM_AB,ETS2,13,1.20783457892903,0.940373516244304,0.267461062684724,0.520316800507367,0.0274725274725275,0.929011729160351,0.906068911228346,0.985786910714062
DoRothEA_ULM_AB,ETV4,13,3.36969870148916,3.38594054949433,-0.0162418480051709,0.943056670967043,-0.0989010989010989,0.74786830359839,0.992174205913243,0.980399303852205
DoRothEA_ULM_AB,FLI1,13,2.0359903095318,1.50271018588434,0.533280123647467,0.133614402537716,0.291208791208791,0.334385856197529,0.653641412768147,0.868600551103142
DoRothEA_ULM_AB,FOS,13,2.68602940788028,2.04224561416863,0.643783793711649,0.432034892005007,-0.0164835164835165,0.957376175090185,0.906068911228346,0.985786910714062
DoRothEA_ULM_AB,FOSL1,13,1.8453412473185,1.19342796277861,0.651913284539889,0.432034892005007,0.115384615384615,0.70738987351426,0.906068911228346,0.980399303852205
DoRothEA_ULM_AB,FOSL2,13,-0.0512952812197602,-0.317166073683814,0.265870792464054,0.943056670967043,0.054945054945055,0.858504294230874,0.992174205913243,0.985328792242253
DoRothEA_ULM_AB,FOXA1,13,1.94813499296925,1.86860354362034,0.0795314493489148,0.830324257655795,0.010989010989011,0.971577682777073,0.975148256084132,0.985786910714062
DoRothEA_ULM_AB,FOXL2,13,4.00418366387873,4.13011125223142,-0.125927588352697,0.720984861901671,-0.236263736263736,0.437083543831181,0.958150934895641,0.947166032841988
DoRothEA_ULM_AB,FOXM1,13,0.949745470573603,1.69124751881354,-0.741502048239937,0.0741455311114069,-0.604395604395604,0.0286727056714069,0.596568346623317,0.469281209611399
DoRothEA_ULM_AB,FOXO1,13,-0.0338073783019597,-0.214378285174655,0.180570906872695,0.720984861901671,0.0824175824175824,0.788950927847518,0.958150934895641,0.980399303852205
