patient,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,p53,PI3K,TGFb,TNFa,Trail,VEGF,WNT
SMC01,1.46560741479494,0.647286313626129,0.1150400042717,-0.139276434651237,0.834889500299882,0.937085723756525,1.5219481997204,1.18090195683548,-0.573747926144034,-0.777008946991114,1.56465478544895,1.16677447149989,0.827953011499104,0.108495581739074
SMC02,-0.482532000527014,-0.28875040020691,0.190485190189615,0.216532728426915,0.185467524307191,0.073497483533055,0.629373012712918,-0.00402148652784312,-0.37483796298943,-0.844520995272265,0.631776390279143,1.51444947071894,0.560505028622443,-1.86176203260175
SMC03,0.547802294133292,1.10995587202045,1.96427336002262,0.923920992840889,-1.29945510489333,0.934585527220751,-1.05058304519975,-0.0923639320417053,1.91651810865601,0.925766137391557,-0.962193074890974,-0.475790134451307,0.258997520598301,1.47708139817899
SMC04,0.193906049075673,1.46825315842261,0.433393239792982,-0.600748805794752,0.155924630536673,1.7937644088883,0.984884917815067,-0.917864992002899,0.756957641239406,-0.971721286125452,0.862561954988657,-0.212196825166111,0.772715470010719,0.0474703574260705
SMC06,0.303493227249879,-1.2976709047872,0.608307577742295,0.594744442046354,-1.24277488340783,-1.15320539253525,-1.13297590930272,0.490637107824919,-0.52259884863997,1.00112635331125,-1.01937154999783,-0.344802249555696,0.0106555302498184,0.56385910328937
SMC07,-2.23739313236844,-0.968763386512551,-0.637223557080981,-2.38743833794584,1.02765827672172,-0.960044108259934,-1.88203175537123,-2.73614724175554,1.72121211758829,-2.13356971844007,-2.01080056584134,-1.88265874578106,-0.241825422496144,0.386299307205058
SMC08,0.873730509761136,-0.572143702546216,0.255818665848811,0.41473305575298,0.255442138251884,-0.499068232250046,0.120637592907816,0.987926196526187,-1.04341319929265,1.18898719823558,0.039932842857059,0.107859867186189,-1.87084343663549,0.763892554989787
SMC10,-0.813438139946577,-1.43908656126248,-1.3161630742255,0.170465723659597,0.96663165467027,-0.907470096801889,-0.126295486088144,-0.0183167222322012,-0.933032100682037,-0.482324885361388,-0.143105771005868,-1.60700092974402,-1.1868076144214,0.948704852631307
SMC14,0.733910741250604,1.43941232556162,1.15001761159408,0.0841124507040412,-0.188597316867748,1.1507397474123,1.0475655757108,-0.242027908198426,0.305936583264534,1.01538722724087,0.994535247815407,0.189690357207051,-0.244519835923703,0.327504874639366
SMC15,0.49719979214192,0.136921663300635,-0.373738541523659,0.278858463674202,0.0512243570563294,-0.112757001266198,-0.486388559689824,-0.0446411492596338,-0.668928859793523,0.168937466686983,-0.478571055625563,1.27334363352018,0.457771414588187,0.265771071771315
SMC17,-0.236693837919659,0.656625589794773,-0.362694870995009,1.31208430685853,-1.08243234657339,0.685928392793996,0.69562035795283,0.0916971770864183,0.431054327128719,0.346572290531061,0.785131445356477,0.158773610926649,0.797049938814095,-1.85753414426382
SMC20,0.460090230495725,-0.737072585834047,-0.0968927858829865,0.634050045363877,-1.3631911870345,-1.02694078492475,-0.654861295005202,0.908442382483464,-1.15841996371717,0.695468079915755,-0.636665384748138,0.30824662586554,-1.56319516780853,-0.391516016135191
SMC24,-1.30568314814151,-0.15496738157682,-1.93062281975396,-1.50203863093555,1.69921275693284,-0.916115667566861,0.333106393837039,0.395778611261776,0.143300083381832,-0.133098921122775,0.372114735364023,-0.196689152226249,1.4215435629026,-0.778266908869581
