"cohort","patient","definition","n_stromal","n_tumour","stromal_median","tumour_median","median_difference","stromal_mean","tumour_mean","mean_difference"
"GSE334323","CRC03","frozen_marker_margin",2309,1642,-0.123068271336256,0.122557678204557,-0.245625949540813,-0.0873203453311438,0.119971103591599,-0.207291448922743
"GSE334323","CRC07","frozen_marker_margin",1013,1501,-0.00555489823506065,0.0950718770188194,-0.10062677525388,0.0178347268222442,0.0580233307903064,-0.0401886039680622
"GSE334323","CRC08","frozen_marker_margin",1475,1614,0.106630049036077,0.0298407671545665,0.0767892818815107,0.093903465687266,0.0371427133241486,0.0567607523631174
