"model_id","estimator","term","estimate","std_error","df","statistic","p_value","ci_low","ci_high","clusters","bootstrap_requested","bootstrap_valid"
"GSE132_FAPdet_SenMayo_depth_subtype","random-intercept lmer; Satterthwaite inference","FAP_statusFAP+",0.0238282995518691,0.0147477286013046,1492.73416997774,1.61572674654192,0.106364719392159,-0.00507671736045913,0.0527333164641974,23,NA,NA
"GSE132_FAPdet_SASP_depth_subtype","random-intercept lmer; Satterthwaite inference","FAP_statusFAP+",0.0322565378786103,0.0383401811826954,1497.21838719046,0.841324607333078,0.400300458355478,-0.042888836400213,0.107401912157434,23,NA,NA
"GSE132_matrix4_on_FAP_depth_subtype","random-intercept lmer; Satterthwaite inference","FAP_expr",0.301527336606263,0.0359759250459802,1494.29376251787,8.38136437689612,0.000000000000000119193179082102,0.231015819205629,0.372038854006897,23,NA,NA
"GSE132_FAPdet_SenMayo_depth_subtype","patient fixed effects with patient-cluster percentile bootstrap","FAP_statusFAP+",0.0239352966902746,0.0214169664314475,22,NA,0.273945210957808,-0.017467965657271,0.0674826479484025,23,5000,5000
"GSE132_FAPdet_SASP_depth_subtype","patient fixed effects with patient-cluster percentile bootstrap","FAP_statusFAP+",0.0340399533940065,0.0368445094638096,22,NA,0.362727454509098,-0.0374248478921378,0.109496413037663,23,5000,5000
"GSE132_matrix4_on_FAP_depth_subtype","patient fixed effects with patient-cluster percentile bootstrap","FAP_expr",0.298579658138803,0.0701618241737324,22,NA,0.000399920015996801,0.187200453753113,0.455206626229917,23,5000,5000
