"cohort","endpoint","n_patients","median_fibroblast","median_epithelial","median_paired_difference","positive_direction","p_two_sided"
"GSE132465","SenMayo_score",23,0.449009953397284,-0.0534513877225259,0.46612070040494,23,0.000000238418579101562
"GSE132465","SASP_score",23,0.66278363617944,-0.0859050985758334,0.756838350613195,23,0.000000238418579101562
"GSE132465","MKI67_score",23,0.021403163892702,0.136573350388079,-0.118166570878571,2,0.000181436538696289
"GSE166555","SenMayo_score",10,0.135503135044495,-0.0572467938991579,0.148505744630358,9,0.01953125
"GSE166555","SASP_score",10,0.262877111148717,-0.115881489989946,0.475442725881209,10,0.001953125
"GSE166555","MKI67_score",10,3.24842652569072,5.03148027176202,-2.03328357374778,1,0.00390625
