"cohort","estimand","n_patients","estimate","ci_low","ci_high","bootstrap_sign_p","bootstrap_requested","bootstrap_valid"
"GSE132465","rho_FAP_matrix",23,0.649209486166008,0.26374686578949,0.870324189526184,0.0027997200279972,10000,10000
"GSE132465","rho_FAP_SenMayo",23,0.33102766798419,-0.130906591495953,0.689397710303634,0.14978502149785,10000,10000
"GSE132465","rho_SenMayo_matrix",23,-0.0484189723320158,-0.513479116702113,0.455334588103534,0.831716828317168,10000,10000
"GSE132465","FAP_matrix_minus_FAP_SenMayo",23,0.318181818181818,-0.284999017087835,0.888212713288081,0.286971302869713,10000,10000
"GSE132465","FAP_matrix_minus_SenMayo_matrix",23,0.697628458498024,0.232514925439732,1.13418406764782,0.0023997600239976,10000,10000
"GSE166555","rho_FAP_matrix",10,0.878787878787879,0.388535031847134,1,0.0031996800319968,10000,10000
"GSE166555","rho_FAP_SenMayo",10,-0.0666666666666667,-0.78749335106383,0.735849056603774,0.865113488651135,10000,10000
"GSE166555","rho_SenMayo_matrix",10,-0.406060606060606,-0.871794871794872,0.391304347826087,0.272572742725727,10000,10000
"GSE166555","FAP_matrix_minus_FAP_SenMayo",10,0.945454545454545,-0.176100628930818,1.76100628930818,0.10958904109589,10000,10000
"GSE166555","FAP_matrix_minus_SenMayo_matrix",10,1.28484848484848,0.423125,1.81132075471698,0.0025997400259974,10000,10000
