analysis,cohort,patient,definition,effect_name,effect_value,n_stromal,n_tumour,n_sections,cohort_raw_p,cohort_holm_p,rho_fap_matrix4,rho_fap_senmayo,rho_senmayo_matrix4,null_center,null_q025,null_q975,observed_minus_null_center,empirical_p,monte_carlo_draws,technical_note
H2 FAP-matrix comparative correlation,GSE334323,CRC08,frozen_marker_margin,Fisher-z FAP-matrix contrast,-0.166296542413418,1486,,,,,0.128222478740724,0.0811415967497269,0.286940209714598,,,,,,,
MKI67 polarity control,GSE280315,P1,,epithelial-minus-stromal mean,0.127495558159405,32143,121378,,,,,,,,,,,,,
MKI67 polarity control,GSE280315,P2,,epithelial-minus-stromal mean,0.328105654695506,44952,199861,,,,,,,,,,,,,
MKI67 polarity control,GSE280315,P5,,epithelial-minus-stromal mean,0.219692569260649,30354,70003,,,,,,,,,,,,,
MKI67 polarity control,Valdeolivas_Visium,A121573,,epithelial-minus-stromal mean,0.107889466050116,645,710,2.0,,,,,,,,,,,,
MKI67 polarity control,Valdeolivas_Visium,A416371,,epithelial-minus-stromal mean,0.10189772927361,1252,1299,2.0,,,,,,,,,,,,
MKI67 polarity control,Valdeolivas_Visium,A551763,,epithelial-minus-stromal mean,0.0135554784492553,120,1073,2.0,,,,,,,,,,,,
MKI67 polarity control,Valdeolivas_Visium,A595688,,epithelial-minus-stromal mean,0.178147608396648,283,397,2.0,,,,,,,,,,,,
MKI67 polarity control,Valdeolivas_Visium,A938797,,epithelial-minus-stromal mean,0.436224680003085,1982,286,2.0,,,,,,,,,,,,
MKI67 polarity control,Valdeolivas_Visium,A120838,,epithelial-minus-stromal mean,0.0930743355218416,564,275,2.0,,,,,,,,,,,,
MKI67 polarity control,GSE334323,CRC03,,epithelial-minus-stromal mean,0.352758175718714,2310,1641,,,,,,,,,,,,,
MKI67 polarity control,GSE334323,CRC07,,epithelial-minus-stromal mean,0.659710486456375,1013,1501,,,,,,,,,,,,,
MKI67 polarity control,GSE334323,CRC08,,epithelial-minus-stromal mean,0.375244607154857,1486,1666,,,,,,,,,,,,,
source-available spatial matched-null,GSE280315,cohort-level statistic,"5,000 expression/detection-matched gene sets",observed median patient mean difference,0.0196158937365652,,,,,,,,,-0.108666153017766,-0.134605725449348,-0.0783187503892288,0.128282046754331,0.0001999600079984,5000.0,
source-available spatial matched-null,Valdeolivas_Visium,cohort-level statistic,"5,000 expression/detection-matched gene sets",observed median patient mean difference,0.110366757571359,,,,,,,,,-0.0706855802724392,-0.0965014330602508,-0.0466797222122356,0.181052337843798,0.0001999600079984,5000.0,
GSE280315 compartment-assignment sensitivity,GSE280315,P1,Author  singlet  (primary),stromal-minus-tumour patient median,0.0536603744526923,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P2,Author  singlet  (primary),stromal-minus-tumour patient median,-0.009951767199303,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P5,Author  singlet  (primary),stromal-minus-tumour patient median,0.002546555483849,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P1,Singlet +  doublets,stromal-minus-tumour patient median,0.0542419710019757,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P1,Author  unsupervised L1,stromal-minus-tumour patient median,0.0454008903874462,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P1,Frozen marker  margin,stromal-minus-tumour patient median,0.0095884573811622,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P2,Singlet +  doublets,stromal-minus-tumour patient median,0.0002283167466767,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P2,Author  unsupervised L1,stromal-minus-tumour patient median,0.0010901825644532,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P2,Frozen marker  margin,stromal-minus-tumour patient median,-0.0078705041896822,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P5,Singlet +  doublets,stromal-minus-tumour patient median,0.00755412363267,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P5,Author  unsupervised L1,stromal-minus-tumour patient median,-0.012610590834785,,,,,,,,,,,,,,,
GSE280315 compartment-assignment sensitivity,GSE280315,P5,Frozen marker  margin,stromal-minus-tumour patient median,-0.0146647667845043,,,,,,,,,,,,,,,
GSE334323 denominator provenance,GSE334323,CRC03,pre-correction,stromal-minus-tumour patient median,-0.245625949540813,2309,1642,,,,,,,,,,,,,original all-feature library-size denominator retained for provenance
GSE334323 denominator provenance,GSE334323,CRC07,pre-correction,stromal-minus-tumour patient median,-0.10062677525388,1013,1501,,,,,,,,,,,,,original all-feature library-size denominator retained for provenance
GSE334323 denominator provenance,GSE334323,CRC08,pre-correction,stromal-minus-tumour patient median,0.0767892818815107,1475,1614,,,,,,,,,,,,,original all-feature library-size denominator retained for provenance
GSE334323 denominator provenance,GSE334323,CRC03,human-feature corrected,stromal-minus-tumour patient median,-0.245001232890349,2310,1641,,,,,,,,,,,,,"323 microbial, viral or control probes removed only in corrected denominator"
GSE334323 denominator provenance,GSE334323,CRC07,human-feature corrected,stromal-minus-tumour patient median,-0.101302077458619,1013,1501,,,,,,,,,,,,,"323 microbial, viral or control probes removed only in corrected denominator"
GSE334323 denominator provenance,GSE334323,CRC08,human-feature corrected,stromal-minus-tumour patient median,0.0799936463960744,1486,1666,,,,,,,,,,,,,"323 microbial, viral or control probes removed only in corrected denominator"
