"cohort","patient","definition","n_stromal","n_tumour","stromal_median","tumour_median","median_difference","stromal_mean","tumour_mean","mean_difference"
"GSE280315","P1","author_deconvolution_singlet",32143,121378,0.0653521067877316,0.0116917323350393,0.0536603744526923,0.0919955062630714,0.0282298145403987,0.0637656917226727
"GSE280315","P2","author_deconvolution_singlet",44952,199861,0.00578709524261289,0.015738862441916,-0.00995176719930307,0.0297048408232533,0.0281166380272462,0.00158820279600712
"GSE280315","P5","author_deconvolution_singlet",30354,70003,0.0422553443646127,0.0397087888807636,0.00254655548384905,0.0695337602536954,0.0499178666136377,0.0196158936400577
