"cohort","patient","feature","moran_i","n_nodes","n_edges"
"GSE280315","P1","SenMayo_zmean",0.327650462695073,506084,1005376
"GSE280315","P1","FAP_log1p10k",0.0376145235906916,506084,1005376
"GSE280315","P1","matrix4_zmean",0.668242020265351,506084,1005376
"GSE280315","P2","SenMayo_zmean",0.491322933391909,545850,1088462
"GSE280315","P2","FAP_log1p10k",0.0423442123584081,545850,1088462
"GSE280315","P2","matrix4_zmean",0.726712148567883,545850,1088462
"GSE280315","P5","SenMayo_zmean",0.432984889733851,541946,1080896
"GSE280315","P5","FAP_log1p10k",0.0432455687848386,541946,1080896
"GSE280315","P5","matrix4_zmean",0.585475274453627,541946,1080896
