"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Tumor_epithelial","Tumor_epithelial","LAMC2","ITGA6_ITGB1",0.0514664236173153,0,"LAMC2_ITGA6_ITGB1","LAMC2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL4A1","ITGA2_ITGB1",0.0508349844958412,0,"COL4A1_ITGA2_ITGB1","COL4A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB1","ITGA2_ITGB1",0.0507038101734037,0,"LAMB1_ITGA2_ITGB1","LAMB1 - (ITGA2+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","IGFBP3","TMEM219",0.0504737191487945,0,"IGFBP3_TMEM219","IGFBP3 - TMEM219","IGFBP","Secreted Signaling","PMID:20353938"
"Tumor_epithelial","Tumor_epithelial","LAMA3","CD44",0.0491952974755486,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THBS1","ITGA3_ITGB1",0.0488930346523845,0,"THBS1_ITGA3_ITGB1","THBS1 - (ITGA3+ITGB1)","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","CD99","PILRB",0.0483853171560153,0,"CD99_PILRB","Cd99 - Pilrb","CD99","Cell-Cell Contact","uniprot;PMID:18234675"
"Tumor_epithelial","Tumor_epithelial","LAMA3","ITGA6_ITGB1",0.0473104484843836,0,"LAMA3_ITGA6_ITGB1","LAMA3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","LAMC2","ITGA6_ITGB4",0.0472421057070172,0,"LAMC2_ITGA6_ITGB4","LAMC2 - (ITGA6+ITGB4)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","CD46","JAG1",0.0465205282635496,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB2","ITGA2_ITGB1",0.0463519140562209,0,"LAMB2_ITGA2_ITGB1","LAMB2 - (ITGA2+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","THBS2","SDC4",0.0455936464475234,0,"THBS2_SDC4","THBS2 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL4A1","ITGA3_ITGB1",0.0447346265890948,0,"COL4A1_ITGA3_ITGB1","COL4A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB1","ITGA3_ITGB1",0.0446184536273924,0,"LAMB1_ITGA3_ITGB1","LAMB1 - (ITGA3+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","LAMA3","ITGA6_ITGB4",0.0434116372706287,0,"LAMA3_ITGA6_ITGB4","LAMA3 - (ITGA6+ITGB4)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","EFNB2","EPHB2",0.0408435436070259,0,"EFNB2_EPHB2","EFNB2 - EPHB2","EPHB","Cell-Cell Contact","PMID: 15114347"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB2","ITGA3_ITGB1",0.0407664324578647,0,"LAMB2_ITGA3_ITGB1","LAMB2 - (ITGA3+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","SDC2","ADGRA2",0.0401471823470931,0,"SDC2_ADGRA2","SDC2 - ADGRA2","ADGRA","Cell-Cell Contact","PMID: 31462748"
"Tumor_epithelial","FAP_high_myofibroblast","GAS6","AXL",0.0382048421262839,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"Tumor_epithelial","Tumor_epithelial","EFNA3","EPHA2",0.0367126038417685,0,"EFNA3_EPHA2","EFNA3 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Tumor_epithelial","FAP_high_myofibroblast","EDN1","EDNRA",0.0354975704389868,0,"EDN1_EDNRA","EDN1 - EDNRA","EDN","Secreted Signaling","KEGG: hsa04080"
"FAP_high_myofibroblast","Tumor_epithelial","THBS3","SDC4",0.0346361094736087,0,"THBS3_SDC4","THBS3 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","LAMB3","DAG1",0.0336873957564373,0,"LAMB3_DAG1","LAMB3 - DAG1","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","CD99","PILRB",0.033355874766954,0,"CD99_PILRB","Cd99 - Pilrb","CD99","Cell-Cell Contact","uniprot;PMID:18234675"
"FAP_high_myofibroblast","Tumor_epithelial","THBS3","CD47",0.032895782184496,0,"THBS3_CD47","THBS3 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
