"analysis","pair_count","collagen_pair_count","fibronectin_pair_count","tgfb_or_inhba_pair_count","ccl2_pair_count","top_pair","top_probability"
"unweighted",80,29,3,0,0,"COL1A1_SDC4",0.332958419681611
"population_weighted",80,29,3,0,0,"COL1A1_SDC4",0.00524122592234546
