"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Tumor_epithelial","Tumor_epithelial","CLDN3","CLDN3",0.451640076268397,0,"CLDN3_CLDN3","CLDN3 - CLDN3","CLDN","Cell-Cell Contact","PMID: 31942240"
"Tumor_epithelial","Tumor_epithelial","PPIA","BSG",0.391734996072839,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Tumor_epithelial","Tumor_epithelial","CEACAM5","CEACAM6",0.295587348158786,0,"CEACAM5_CEACAM6","CEACAM5 - CEACAM6","CEACAM","Cell-Cell Contact","uniprot"
"Tumor_epithelial","Tumor_epithelial","MIF","CD74_CD44",0.248872829103126,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_epithelial","Tumor_epithelial","MDK","NCL",0.233198152346829,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor_epithelial","Tumor_epithelial","CEACAM6","CEACAM6",0.222266070003794,0,"CEACAM6_CEACAM6","CEACAM6 - CEACAM6","CEACAM","Cell-Cell Contact","PMID:11590190"
"Tumor_epithelial","Tumor_epithelial","CEACAM1","CEACAM5",0.192310181839809,0,"CEACAM1_CEACAM5","CEACAM1 - CEACAM5","CEACAM","Cell-Cell Contact","PMID: 11590190"
"Tumor_epithelial","Tumor_epithelial","LGALS9","P4HB",0.174416157410729,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Tumor_epithelial","Tumor_epithelial","MDK","SDC4",0.173923474393509,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Tumor_epithelial","Tumor_epithelial","MDK","ITGA6_ITGB1",0.163728624301555,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"Tumor_epithelial","Tumor_epithelial","CDH1","CDH1",0.150595710340056,0,"CDH1_CDH1","CDH1 - CDH1","CDH","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_epithelial","Tumor_epithelial","CEACAM1","CEACAM6",0.139301907104825,0,"CEACAM1_CEACAM6","CEACAM1 - CEACAM6","CEACAM","Cell-Cell Contact","PMID:21982860"
"Tumor_epithelial","Tumor_epithelial","LAMB3","CD44",0.132356886701553,0,"LAMB3_CD44","LAMB3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","LAMB3","ITGA6_ITGB1",0.127736203178489,0,"LAMB3_ITGA6_ITGB1","LAMB3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","EFNA1","EPHA2",0.122237611420517,0,"EFNA1_EPHA2","EFNA1 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Tumor_epithelial","Tumor_epithelial","LAMB3","ITGA6_ITGB4",0.118073776620756,0,"LAMB3_ITGA6_ITGB4","LAMB3 - (ITGA6+ITGB4)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","LGALS9","CD44",0.114076573291646,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Tumor_epithelial","Tumor_epithelial","CD55","ADGRE5",0.111292065161863,0,"CD55_ADGRE5","CD55 - ADGRE5","ADGRE","Cell-Cell Contact","PMID: 31462748"
"Tumor_epithelial","Tumor_epithelial","F11R","F11R",0.0884000631169015,0,"F11R_F11R","F11R - F11R","JAM","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_epithelial","Tumor_epithelial","MPZL1","MPZL1",0.0833407522044217,0,"MPZL1_MPZL1","MPZL1 - MPZL1","MPZ","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_epithelial","Tumor_epithelial","CDH1","ITGA2_ITGB1",0.0803349486193516,0,"CDH1_ITGA1_ITGB1","CDH1 - (ITGA1+ITGB1)","CDH1","Cell-Cell Contact","PMID: 12392763"
