"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A2","ITGA3_ITGB1",0.00207017404554849,0,"COL6A2_ITGA3_ITGB1","COL6A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","FN1","ITGA3_ITGB1",0.00198402140626063,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A3","ITGA3_ITGB1",0.00193907997563992,0,"COL6A3_ITGA3_ITGB1","COL6A3 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMA4","CD44",0.00190216413872203,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A1","ITGA3_ITGB1",0.00190176729943514,0,"COL6A1_ITGA3_ITGB1","COL6A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL4A2","SDC4",0.0018981085664364,0,"COL4A2_SDC4","COL4A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL4A2","CD44",0.00184515826754794,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMA4","ITGA6_ITGB1",0.00183458169038283,0,"LAMA4_ITGA6_ITGB1","LAMA4 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMC1","CD44",0.00182282824677261,0,"LAMC1_CD44","LAMC1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","ITGAV_ITGB1","ADGRE5",0.00178426674723836,0,"ITGAV_ITGB1_ADGRE5","(ITGAV+ITGB1) - ADGRE5","ADGRE","Cell-Cell Contact","PMID: 31462748"
"FAP_high_myofibroblast","Tumor_epithelial","LAMC1","ITGA6_ITGB1",0.00175770653635847,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THBS1","SDC4",0.00174992297396174,0,"THBS1_SDC4","THBS1 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
