"cohort","program","max_patient_r_difference","summary_r_difference","p_difference","t_ci_low","t_ci_high"
"GSE132465","Troph_MMPplus",2.77555756156289e-16,1.04083408558608e-17,0,-0.0672047059752077,0.118220389102291
"GSE132465","Troph_MMPminus",2.07299455379228e-16,1.38777878078145e-17,2.77555756156289e-17,-0.1523856134234,0.0180369009994566
"GSE132465","Telocyte_CAF",3.7470027081099e-16,4.16333634234434e-17,6.10622663543836e-16,-0.0556219182302186,0.17946210277197
"GSE166555","Troph_MMPplus",6.10622663543836e-16,1.11022302462516e-16,3.81639164714898e-17,0.0398629423643877,0.361438433183504
"GSE166555","Troph_MMPminus",9.57567358739198e-16,8.32667268468867e-17,5.55111512312578e-17,-0.00287697347072597,0.310373431697829
"GSE166555","Telocyte_CAF",6.10622663543836e-16,5.55111512312578e-17,1.18584612615602e-20,0.319264462688084,0.491417837675566
