sample_id,FAP_CAF,FAP_CAF_group
TCGA-CA-5256-01,-0.3919712616989,Low
TCGA-AZ-6599-01,-2.14970103868036,Low
TCGA-AA-3655-01,0.117627571420197,High
TCGA-A6-6137-01,-0.447618651902212,Low
TCGA-CK-4952-01,-0.428682743906529,Low
TCGA-A6-5657-01,0.950286521472653,High
TCGA-AD-6963-01,-0.621555915942876,Low
TCGA-A6-6138-01,0.380701568980915,High
TCGA-A6-A567-01,-0.00905767515012444,Low
TCGA-D5-6928-01,0.896287821286612,High
TCGA-AZ-6598-01,0.0771968779959632,Low
TCGA-D5-6931-01,0.349224693218482,High
TCGA-G4-6295-01,-0.654737535720867,Low
TCGA-AA-A01X-01,-0.406589111467009,Low
TCGA-AZ-4313-01,-0.380740097298858,Low
TCGA-DM-A0XD-01,0.103859458085441,Low
TCGA-D5-6535-01,-0.0866357418513701,Low
TCGA-AA-3509-01,-0.104207320495265,Low
TCGA-DM-A28E-01,-1.70839345057223,Low
TCGA-G4-6307-01,-0.788521508317354,Low
TCGA-A6-2682-01,0.957110256455871,High
TCGA-CM-5868-01,0.338045313235352,High
TCGA-CK-4947-01,0.255497603465278,High
TCGA-D5-5540-01,-0.206590510974528,Low
TCGA-A6-4105-01,0.581935098840848,High
TCGA-A6-6651-01,1.38237921431384,High
TCGA-G4-6625-01,0.373752409073241,High
TCGA-CM-5860-01,1.12324645690292,High
TCGA-DM-A28G-01,-0.63775224909999,Low
TCGA-A6-5666-01,-0.907758440046604,Low
TCGA-AZ-6605-01,1.37540554326805,High
TCGA-CA-5797-01,0.168543561965604,High
TCGA-D5-6930-01,0.71338546948002,High
TCGA-5M-AAT4-01,-0.652182163655727,Low
TCGA-AA-3685-01,0.0318774368060414,Low
TCGA-D5-6924-01,0.988996654572694,High
TCGA-CA-6718-01,0.350124602210024,High
TCGA-AZ-6603-01,0.514415507258621,High
TCGA-CM-5862-01,-0.0574752531783063,Low
TCGA-AA-A01Z-01,-0.754177694073833,Low
TCGA-DM-A0X9-01,-0.398359680554656,Low
TCGA-A6-A566-01,1.98014106681267,High
TCGA-D5-6534-01,1.56769229795488,High
TCGA-CK-6746-01,-0.830637423919264,Low
TCGA-A6-5656-01,-0.557421467994214,Low
TCGA-5M-AAT6-01,0.866202368429284,High
TCGA-QG-A5Z1-01,0.292562374906141,High
TCGA-CK-4951-01,0.934495623918317,High
TCGA-CM-6680-01,0.470730174938107,High
TCGA-CK-5913-01,0.44487460877749,High
TCGA-CM-6172-01,0.205294953831787,High
TCGA-G4-6309-01,-0.432811326941543,Low
TCGA-F4-6461-01,0.554628508654738,High
TCGA-G4-6299-01,0.457910370162922,High
TCGA-CM-6168-01,1.11502456617883,High
TCGA-AD-A5EK-01,-0.17746430916545,Low
TCGA-AM-5820-01,-0.0407614662645286,Low
TCGA-A6-6648-01,-0.654822996347039,Low
TCGA-CA-6717-01,0.726246976282805,High
TCGA-AU-6004-01,0.731601114228323,High
TCGA-A6-2684-01,0.75467344075079,High
TCGA-DM-A1HB-01,-0.209953858496125,Low
TCGA-A6-2685-01,0.971720745980226,High
TCGA-F4-6856-01,-0.156350993324314,Low
TCGA-AA-3492-01,0.0323845135541366,Low
TCGA-G4-6294-01,-0.56089032704916,Low
TCGA-WS-AB45-01,2.25469699780019,High
TCGA-CK-5916-01,0.200096968983881,High
TCGA-NH-A50V-01,0.508437323451447,High
TCGA-NH-A6GA-01,-0.34883871012665,Low
TCGA-F4-6460-01,0.541750583048453,High
TCGA-F4-6806-01,0.16221463104152,High
TCGA-G4-6304-01,-1.31026006178559,Low
TCGA-QG-A5YW-01,0.0252700703399108,Low
TCGA-AD-6965-01,-0.0910215705902171,Low
TCGA-D5-6920-01,-0.0811859849022653,Low
TCGA-DM-A280-01,0.106074100737342,Low
TCGA-G4-6297-01,1.13936474062862,High
TCGA-G4-6302-01,1.47379895960315,High
TCGA-QL-A97D-01,-0.957570305023558,Low
TCGA-CA-6716-01,0.134669428467137,High
TCGA-CA-6715-01,-0.239464498640331,Low
TCGA-CM-4743-01,-0.227658998870464,Low
TCGA-A6-6654-01,1.49788216719295,High
TCGA-5M-AAT5-01,-0.686655434006104,Low
TCGA-G4-6627-01,0.65423063471592,High
TCGA-A6-5664-01,0.836775641588928,High
TCGA-CM-6167-01,1.26164915879228,High
TCGA-AD-6548-01,0.538355435219341,High
TCGA-F4-6805-01,1.05004998975028,High
TCGA-A6-6780-01,-0.407286359507358,Low
TCGA-DM-A1HA-01,-1.93957657192965,Low
TCGA-CM-6676-01,0.262728601653431,High
TCGA-A6-6650-01,-0.628441200950004,Low
TCGA-NH-A6GB-01,-0.265458089854873,Low
TCGA-A6-6652-01,-0.52566874761455,Low
TCGA-CM-6164-01,0.0608082598838561,Low
TCGA-D5-6536-01,0.722469043833347,High
TCGA-G4-6588-01,0.268982076628472,High
TCGA-4N-A93T-01,-1.47512276227816,Low
TCGA-F4-6459-01,0.76197030120117,High
TCGA-T9-A92H-01,-0.824336583217398,Low
TCGA-D5-5538-01,0.654386462365325,High
TCGA-CK-4948-01,0.757760794721421,High
TCGA-AA-3506-01,0.364367846090336,High
TCGA-CM-6166-01,0.0344816909484496,Low
TCGA-CK-5914-01,0.133637905638406,High
TCGA-AY-6196-01,1.43957849905297,High
TCGA-F4-6809-01,0.366983698186389,High
TCGA-CM-6171-01,-0.236881740541283,Low
TCGA-CM-5863-01,0.736327937451526,High
TCGA-D5-6539-01,-0.531146979347347,Low
TCGA-NH-A8F7-01,-1.18417754998121,Low
TCGA-D5-5541-01,0.313538357591123,High
TCGA-F4-6808-01,-0.587730972702729,Low
TCGA-DM-A285-01,0.415923748866469,High
TCGA-G4-6314-01,1.1745624213201,High
TCGA-A6-6781-01,1.82714111784782,High
TCGA-F4-6807-01,1.01033076539021,High
TCGA-AY-A54L-01,-1.6216223335737,Low
TCGA-A6-5661-01,-0.132822074332308,Low
TCGA-DM-A288-01,-0.846182016973994,Low
TCGA-QG-A5YX-01,-1.31474420917385,Low
TCGA-AD-A5EJ-01,0.143596781167288,High
