"minimum_caf_cells","predictor","outcome","patients","spearman_rho","p_value","bootstrap_ci_low","bootstrap_ci_high","prespecified_primary","fdr_bh"
20,"FAP_log_cpm","epithelial_CLDN1_log_cpm",10,-0.260606060606061,0.46708905438634,-0.883116883116883,0.810156436589443,FALSE,0.804290146705612
20,"FAP_log_cpm","epithelial_CLDN2_log_cpm",10,-0.357575757575757,0.31037609170568,-0.886792452830189,0.39622641509434,FALSE,0.750232026220268
20,"FAP_log_cpm","epithelial_CLDN4_log_cpm",10,0.0545454545454545,0.881036181161853,-0.89873417721519,0.622641509433962,FALSE,0.939771926572643
20,"FAP_log_cpm","epithelial_CLDN_core",10,-0.418181818181818,0.229112840982819,-0.89875009951437,0.412537818471337,FALSE,0.750232026220268
20,"FAP_positive_fraction","epithelial_CLDN1_log_cpm",10,-0.345454545454545,0.328226511471367,-0.90001552795031,0.584905660377358,FALSE,0.750232026220268
20,"FAP_positive_fraction","epithelial_CLDN2_log_cpm",10,-0.381818181818182,0.276255333385436,-0.910929665266296,0.324151365875504,FALSE,0.750232026220268
20,"FAP_positive_fraction","epithelial_CLDN4_log_cpm",10,0.00606060606060606,0.986742911194989,-0.89937106918239,0.607843137254902,FALSE,0.986742911194989
20,"FAP_positive_fraction","epithelial_CLDN_core",10,-0.490909090909091,0.149655673420837,-0.961038961038961,0.25,FALSE,0.750232026220268
20,"FAP_CAF","epithelial_CLDN1_log_cpm",10,-0.187878787878788,0.603217610029209,-0.885350318471337,0.685534591194969,FALSE,0.804290146705612
20,"FAP_CAF","epithelial_CLDN2_log_cpm",10,-0.2,0.579584,-0.775034937888199,0.556999013644583,FALSE,0.804290146705612
20,"FAP_CAF","epithelial_CLDN4_log_cpm",10,-0.0787878787878788,0.828717394697461,-0.869281045751634,0.640025641025641,FALSE,0.939771926572643
20,"FAP_CAF","epithelial_CLDN_core",10,-0.381818181818182,0.276255333385436,-0.962264150943396,0.446540880503145,FALSE,0.750232026220268
20,"FAP_CAF_de_ligand","epithelial_CLDN1_log_cpm",10,-0.187878787878788,0.603217610029209,-0.885350318471337,0.685534591194969,FALSE,0.804290146705612
20,"FAP_CAF_de_ligand","epithelial_CLDN2_log_cpm",10,-0.2,0.579584,-0.775034937888199,0.556999013644583,FALSE,0.804290146705612
20,"FAP_CAF_de_ligand","epithelial_CLDN4_log_cpm",10,-0.0787878787878788,0.828717394697461,-0.869281045751634,0.640025641025641,FALSE,0.939771926572643
20,"FAP_CAF_de_ligand","epithelial_CLDN_core",10,-0.381818181818182,0.276255333385436,-0.962264150943396,0.446540880503145,TRUE,0.750232026220268
5,"FAP_log_cpm","epithelial_CLDN1_log_cpm",11,-0.263636363636364,0.433440737611615,-0.808623259839869,0.529953917050691,FALSE,0.716294580281765
5,"FAP_log_cpm","epithelial_CLDN2_log_cpm",11,-0.363636363636364,0.271637540993822,-0.850467289719626,0.317827438179134,FALSE,0.716294580281765
5,"FAP_log_cpm","epithelial_CLDN4_log_cpm",11,0.0181818181818182,0.957685241021619,-0.860497267173936,0.616822429906542,FALSE,0.978836500144194
5,"FAP_log_cpm","epithelial_CLDN_core",11,-0.427272727272727,0.189943724965427,-0.894230769230769,0.317757009345794,FALSE,0.716294580281765
5,"FAP_positive_fraction","epithelial_CLDN1_log_cpm",11,-0.209090909090909,0.537220935211323,-0.800971340427434,0.567359449760765,FALSE,0.716294580281765
5,"FAP_positive_fraction","epithelial_CLDN2_log_cpm",11,-0.363636363636364,0.271637540993822,-0.820796596720155,0.246511627906977,FALSE,0.716294580281765
5,"FAP_positive_fraction","epithelial_CLDN4_log_cpm",11,0.00909090909090909,0.978836500144194,-0.830985915492958,0.615384615384616,FALSE,0.978836500144194
5,"FAP_positive_fraction","epithelial_CLDN_core",11,-0.427272727272727,0.189943724965427,-0.88785046728972,0.25364415266496,FALSE,0.716294580281765
5,"FAP_CAF","epithelial_CLDN1_log_cpm",11,-0.272727272727273,0.417141437142531,-0.844697535474234,0.509259259259259,FALSE,0.716294580281765
5,"FAP_CAF","epithelial_CLDN2_log_cpm",11,-0.272727272727273,0.417141437142531,-0.796340811965812,0.413982009653356,FALSE,0.716294580281765
5,"FAP_CAF","epithelial_CLDN4_log_cpm",11,-0.0909090909090909,0.790372737753291,-0.85645933014354,0.607665119857661,FALSE,0.926846164914338
5,"FAP_CAF","epithelial_CLDN_core",11,-0.445454545454545,0.169732604926812,-0.952408637873754,0.311694352159468,FALSE,0.716294580281765
5,"FAP_CAF_de_ligand","epithelial_CLDN1_log_cpm",11,-0.209090909090909,0.537220935211323,-0.828571428571429,0.544206987765899,FALSE,0.716294580281765
5,"FAP_CAF_de_ligand","epithelial_CLDN2_log_cpm",11,-0.236363636363636,0.484091162225397,-0.751255130501825,0.455419614460959,FALSE,0.716294580281765
5,"FAP_CAF_de_ligand","epithelial_CLDN4_log_cpm",11,-0.0818181818181818,0.810990394300046,-0.839622641509434,0.634637850467289,FALSE,0.926846164914338
5,"FAP_CAF_de_ligand","epithelial_CLDN_core",11,-0.390909090909091,0.234540067095194,-0.944450844854071,0.355458211811885,TRUE,0.716294580281765
