patient,class,cell_type,cell_subtype,n_cells
SMC02,Tumor,Stromal cells,Stromal 1,3
SMC02,Tumor,Stromal cells,Stromal 2,17
SMC02,Tumor,Stromal cells,Stromal 3,2
SMC02,Tumor,Stromal cells,Tip-like ECs,15
SMC02,Tumor,T cells,CD4+ T cells,82
SMC02,Tumor,T cells,CD8+ T cells,140
SMC02,Tumor,T cells,NK cells,29
SMC02,Tumor,T cells,Regulatory T cells,140
SMC02,Tumor,T cells,T follicular helper cells,9
SMC02,Tumor,T cells,T helper 17 cells,64
SMC02,Tumor,T cells,Unknown,63
SMC03,Normal,B cells,CD19+CD20+ B,337
SMC03,Normal,B cells,IgA+ Plasma,355
SMC03,Normal,B cells,IgG+ Plasma,2
SMC03,Normal,B cells,Unknown,3
SMC03,Normal,Epithelial cells,Goblet cells,1
SMC03,Normal,Epithelial cells,Intermediate,18
SMC03,Normal,Epithelial cells,Mature Enterocytes type 1,4
SMC03,Normal,Epithelial cells,Mature Enterocytes type 2,2
SMC03,Normal,Epithelial cells,Stem-like/TA,40
SMC03,Normal,Mast cells,Mast cells,2
SMC03,Normal,Myeloids,Pro-inflammatory,1
SMC03,Normal,Myeloids,cDC,2
SMC03,Normal,Stromal cells,Enteric glial cells,1
SMC03,Normal,Stromal cells,Pericytes,2
SMC03,Normal,Stromal cells,Smooth muscle cells,5
SMC03,Normal,Stromal cells,Stromal 1,1
SMC03,Normal,Stromal cells,Stromal 2,1
SMC03,Normal,Stromal cells,Stromal 3,2
SMC03,Normal,Stromal cells,Tip-like ECs,13
SMC03,Normal,T cells,CD4+ T cells,307
SMC03,Normal,T cells,CD8+ T cells,72
SMC03,Normal,T cells,Regulatory T cells,6
SMC03,Normal,T cells,T follicular helper cells,2
SMC03,Normal,T cells,T helper 17 cells,1
SMC03,Normal,T cells,Unknown,19
SMC03,Normal,T cells,gamma delta T cells,63
SMC03,Tumor,B cells,CD19+CD20+ B,159
SMC03,Tumor,B cells,IgG+ Plasma,139
SMC03,Tumor,B cells,Unknown,2
SMC03,Tumor,Epithelial cells,CMS1,722
SMC03,Tumor,Epithelial cells,CMS2,1
SMC03,Tumor,Epithelial cells,CMS3,73
SMC03,Tumor,Myeloids,Pro-inflammatory,108
SMC03,Tumor,Myeloids,Proliferating,5
SMC03,Tumor,Myeloids,SPP1+,188
SMC03,Tumor,Myeloids,Unknown,8
SMC03,Tumor,Myeloids,cDC,7
SMC03,Tumor,Stromal cells,Myofibroblasts,78
SMC03,Tumor,Stromal cells,Pericytes,6
SMC03,Tumor,Stromal cells,Proliferative ECs,1
SMC03,Tumor,Stromal cells,Stalk-like ECs,25
SMC03,Tumor,Stromal cells,Stromal 1,1
SMC03,Tumor,Stromal cells,Stromal 3,101
SMC03,Tumor,Stromal cells,Tip-like ECs,6
SMC03,Tumor,T cells,CD4+ T cells,126
SMC03,Tumor,T cells,CD8+ T cells,100
SMC03,Tumor,T cells,NK cells,74
SMC03,Tumor,T cells,Regulatory T cells,70
SMC03,Tumor,T cells,T follicular helper cells,11
SMC03,Tumor,T cells,T helper 17 cells,2
SMC03,Tumor,T cells,Unknown,110
SMC04,Normal,B cells,CD19+CD20+ B,111
SMC04,Normal,B cells,IgA+ Plasma,454
SMC04,Normal,B cells,IgG+ Plasma,1
SMC04,Normal,B cells,Unknown,3
SMC04,Normal,Epithelial cells,Goblet cells,15
SMC04,Normal,Epithelial cells,Intermediate,22
SMC04,Normal,Epithelial cells,Mature Enterocytes type 1,76
SMC04,Normal,Epithelial cells,Mature Enterocytes type 2,8
SMC04,Normal,Epithelial cells,Stem-like/TA,48
SMC04,Normal,Mast cells,Mast cells,9
SMC04,Normal,Myeloids,Pro-inflammatory,5
SMC04,Normal,Myeloids,Proliferating,3
SMC04,Normal,Myeloids,SPP1+,28
SMC04,Normal,Myeloids,Unknown,1
SMC04,Normal,Myeloids,cDC,29
SMC04,Normal,Stromal cells,Enteric glial cells,19
SMC04,Normal,Stromal cells,Lymphatic ECs,14
SMC04,Normal,Stromal cells,Pericytes,17
SMC04,Normal,Stromal cells,Smooth muscle cells,17
SMC04,Normal,Stromal cells,Stalk-like ECs,10
SMC04,Normal,Stromal cells,Stromal 1,149
SMC04,Normal,Stromal cells,Stromal 2,27
SMC04,Normal,Stromal cells,Stromal 3,136
SMC04,Normal,Stromal cells,Tip-like ECs,50
SMC04,Normal,T cells,CD4+ T cells,294
SMC04,Normal,T cells,CD8+ T cells,161
SMC04,Normal,T cells,NK cells,15
SMC04,Normal,T cells,Regulatory T cells,6
SMC04,Normal,T cells,T follicular helper cells,4
SMC04,Normal,T cells,T helper 17 cells,1
SMC04,Normal,T cells,Unknown,7
SMC04,Normal,T cells,gamma delta T cells,48
SMC04,Tumor,B cells,CD19+CD20+ B,91
SMC04,Tumor,B cells,IgA+ Plasma,1
SMC04,Tumor,B cells,IgG+ Plasma,10
SMC04,Tumor,B cells,Unknown,1
SMC04,Tumor,Epithelial cells,CMS2,285
SMC04,Tumor,Epithelial cells,CMS3,21
SMC04,Tumor,Epithelial cells,CMS4,1
SMC04,Tumor,Myeloids,Pro-inflammatory,400
SMC04,Tumor,Myeloids,Proliferating,13
SMC04,Tumor,Myeloids,SPP1+,345
SMC04,Tumor,Myeloids,Unknown,35
SMC04,Tumor,Myeloids,cDC,30
SMC04,Tumor,Stromal cells,Enteric glial cells,5
SMC04,Tumor,Stromal cells,Lymphatic ECs,5
SMC04,Tumor,Stromal cells,Myofibroblasts,32
SMC04,Tumor,Stromal cells,Pericytes,19
SMC04,Tumor,Stromal cells,Proliferative ECs,5
SMC04,Tumor,Stromal cells,Smooth muscle cells,5
SMC04,Tumor,Stromal cells,Stalk-like ECs,50
SMC04,Tumor,Stromal cells,Stromal 1,1
SMC04,Tumor,Stromal cells,Stromal 2,5
SMC04,Tumor,Stromal cells,Stromal 3,1
SMC04,Tumor,Stromal cells,Tip-like ECs,21
SMC04,Tumor,T cells,CD4+ T cells,192
SMC04,Tumor,T cells,CD8+ T cells,79
SMC04,Tumor,T cells,NK cells,21
SMC04,Tumor,T cells,Regulatory T cells,131
SMC04,Tumor,T cells,T follicular helper cells,6
SMC04,Tumor,T cells,T helper 17 cells,23
SMC04,Tumor,T cells,Unknown,7
SMC05,Normal,B cells,CD19+CD20+ B,53
SMC05,Normal,B cells,IgA+ Plasma,204
SMC05,Normal,B cells,IgG+ Plasma,1
SMC05,Normal,B cells,Unknown,4
SMC05,Normal,Epithelial cells,Goblet cells,6
SMC05,Normal,Epithelial cells,Intermediate,16
SMC05,Normal,Epithelial cells,Mature Enterocytes type 1,3
SMC05,Normal,Epithelial cells,Mature Enterocytes type 2,23
SMC05,Normal,Epithelial cells,Stem-like/TA,27
SMC05,Normal,Mast cells,Mast cells,7
SMC05,Normal,Myeloids,Pro-inflammatory,5
SMC05,Normal,Myeloids,SPP1+,7
SMC05,Normal,Myeloids,cDC,9
SMC05,Normal,Stromal cells,Enteric glial cells,31
SMC05,Normal,Stromal cells,Lymphatic ECs,4
SMC05,Normal,Stromal cells,Myofibroblasts,1
SMC05,Normal,Stromal cells,Pericytes,4
SMC05,Normal,Stromal cells,Smooth muscle cells,2
SMC05,Normal,Stromal cells,Stalk-like ECs,4
SMC05,Normal,Stromal cells,Stromal 1,67
SMC05,Normal,Stromal cells,Stromal 2,16
SMC05,Normal,Stromal cells,Stromal 3,39
SMC05,Normal,Stromal cells,Tip-like ECs,96
SMC05,Normal,T cells,CD4+ T cells,186
SMC05,Normal,T cells,CD8+ T cells,187
SMC05,Normal,T cells,NK cells,15
SMC05,Normal,T cells,Regulatory T cells,9
SMC05,Normal,T cells,T follicular helper cells,2
SMC05,Normal,T cells,Unknown,2
SMC05,Normal,T cells,gamma delta T cells,84
SMC05,Tumor,B cells,CD19+CD20+ B,77
SMC05,Tumor,B cells,IgA+ Plasma,8
SMC05,Tumor,B cells,IgG+ Plasma,20
SMC05,Tumor,B cells,Unknown,1
SMC05,Tumor,Epithelial cells,CMS1,3
SMC05,Tumor,Epithelial cells,CMS2,2
SMC05,Tumor,Epithelial cells,CMS3,8
SMC05,Tumor,Myeloids,Pro-inflammatory,4
SMC05,Tumor,Myeloids,SPP1+,11
SMC05,Tumor,Myeloids,Unknown,4
SMC05,Tumor,Myeloids,cDC,1
SMC05,Tumor,Stromal cells,Lymphatic ECs,1
SMC05,Tumor,Stromal cells,Myofibroblasts,5
SMC05,Tumor,Stromal cells,Pericytes,4
SMC05,Tumor,Stromal cells,Smooth muscle cells,1
SMC05,Tumor,Stromal cells,Stalk-like ECs,2
SMC05,Tumor,Stromal cells,Stromal 3,3
SMC05,Tumor,T cells,CD4+ T cells,127
SMC05,Tumor,T cells,CD8+ T cells,259
SMC05,Tumor,T cells,NK cells,19
SMC05,Tumor,T cells,Regulatory T cells,54
SMC05,Tumor,T cells,T follicular helper cells,37
SMC05,Tumor,T cells,T helper 17 cells,9
SMC06,Normal,B cells,CD19+CD20+ B,132
SMC06,Normal,B cells,IgA+ Plasma,282
SMC06,Normal,B cells,IgG+ Plasma,49
SMC06,Normal,B cells,Unknown,12
SMC06,Normal,Epithelial cells,Goblet cells,1
SMC06,Normal,Epithelial cells,Intermediate,11
SMC06,Normal,Epithelial cells,Mature Enterocytes type 2,4
SMC06,Normal,Epithelial cells,Stem-like/TA,7
SMC06,Normal,Mast cells,Mast cells,1
SMC06,Normal,Myeloids,Pro-inflammatory,4
SMC06,Normal,Myeloids,Proliferating,1
SMC06,Normal,Myeloids,SPP1+,2
SMC06,Normal,Myeloids,Unknown,1
SMC06,Normal,Myeloids,cDC,19
SMC06,Normal,Stromal cells,Enteric glial cells,4
SMC06,Normal,Stromal cells,Pericytes,5
SMC06,Normal,Stromal cells,Stalk-like ECs,4
SMC06,Normal,Stromal cells,Stromal 1,32
SMC06,Normal,Stromal cells,Stromal 2,5
SMC06,Normal,Stromal cells,Stromal 3,15
SMC06,Normal,Stromal cells,Tip-like ECs,22
SMC06,Normal,T cells,CD4+ T cells,540
SMC06,Normal,T cells,CD8+ T cells,209
SMC06,Normal,T cells,NK cells,26
SMC06,Normal,T cells,Regulatory T cells,30
SMC06,Normal,T cells,T follicular helper cells,5
SMC06,Normal,T cells,T helper 17 cells,3
SMC06,Normal,T cells,Unknown,9
SMC06,Normal,T cells,gamma delta T cells,79
SMC06,Tumor,B cells,CD19+CD20+ B,30
SMC06,Tumor,B cells,IgG+ Plasma,70
SMC06,Tumor,B cells,Unknown,4
SMC06,Tumor,Epithelial cells,CMS1,85
SMC06,Tumor,Epithelial cells,CMS2,24
SMC06,Tumor,Epithelial cells,CMS3,80
SMC06,Tumor,Mast cells,Mast cells,1
SMC06,Tumor,Myeloids,Pro-inflammatory,77
SMC06,Tumor,Myeloids,Proliferating,5
SMC06,Tumor,Myeloids,SPP1+,122
SMC06,Tumor,Myeloids,Unknown,6
SMC06,Tumor,Myeloids,cDC,5
SMC06,Tumor,Stromal cells,Lymphatic ECs,2
SMC06,Tumor,Stromal cells,Myofibroblasts,65
SMC06,Tumor,Stromal cells,Pericytes,10
SMC06,Tumor,Stromal cells,Smooth muscle cells,1
SMC06,Tumor,Stromal cells,Stalk-like ECs,1
SMC06,Tumor,Stromal cells,Stromal 1,1
SMC06,Tumor,Stromal cells,Stromal 3,1
SMC06,Tumor,Stromal cells,Tip-like ECs,2
SMC06,Tumor,T cells,CD4+ T cells,12
SMC06,Tumor,T cells,CD8+ T cells,20
SMC06,Tumor,T cells,NK cells,62
